Model Name,Domain,Task,Parameters (M),Resolution,Dataset,Data Scale,Data Size,Training Time (s),Inference Time (s),IS ↑,FID ↓,MS-SSIM ↓,LPIPS ↑,PSNR ↑,Precision ↑,Recall ↑,Density ↑,Coverage ↑
dcgan,dimension_2d,generation,23.951,128x128,deepjeb_2d_2d,Small,50.0,656.1019,0.0065,1.2944,133.7962,0.8241,0.0902,20.8287,0.0,0.0,0.0,0.0
dcgan,dimension_2d,generation,23.951,128x128,deepjeb_2d_2d,Medium,100.0,714.8368,0.0048,1.2659,110.8947,0.8332,0.1074,20.8707,0.0,0.0,0.0,0.0
dcgan,dimension_2d,generation,23.951,128x128,deepjeb_2d_2d,Large,200.0,512.7681,0.0049,1.3587,105.5629,0.7942,0.1151,20.7308,0.002,0.0,0.0004,0.002
dcgan,dimension_2d,generation,23.951,128x128,deepjeb_2d_2d,Extra Large,500.0,659.4677,0.0056,1.4456,79.6979,0.8185,0.1094,21.0205,0.0,0.0,0.0,0.0
dcgan,dimension_2d,generation,23.951,128x128,deepwheel_2d_2d,Small,50.0,1263.7923,0.0319,1.0231,207.7233,0.9927,0.0087,10.3688,0.0,0.0,0.0,0.0
dcgan,dimension_2d,generation,23.951,128x128,deepwheel_2d_2d,Medium,100.0,1898.0005,0.0298,1.2995,205.835,0.6377,0.1667,9.2672,0.0,0.0,0.0,0.0
dcgan,dimension_2d,generation,23.951,128x128,deepwheel_2d_2d,Large,200.0,2697.9692,0.0519,1.2459,180.113,0.44,0.2079,8.7842,0.0,0.0,0.0,0.0
dcgan,dimension_2d,generation,23.951,128x128,deepwheel_2d_2d,Extra Large,500.0,3180.8096,0.0255,1.3293,131.747,0.5798,0.1782,8.9437,0.036,0.0,0.0072,0.002
dcgan,dimension_2d,generation,23.951,128x128,drivaernet_2d_2d,Small,50.0,629.1713,0.0078,1.537,280.2965,0.8202,0.1475,11.7813,0.0,0.0,0.0,0.0
dcgan,dimension_2d,generation,23.951,128x128,drivaernet_2d_2d,Medium,100.0,571.1912,0.0085,2.1926,295.9992,0.8161,0.1844,12.5332,0.0,0.0,0.0,0.0
dcgan,dimension_2d,generation,23.951,128x128,drivaernet_2d_2d,Large,200.0,774.6278,0.0059,2.2343,213.9317,0.6601,0.2396,11.9071,0.0,0.0,0.0,0.0
dcgan,dimension_2d,generation,23.951,128x128,drivaernet_2d_2d,Extra Large,500.0,615.3326,0.006,2.3691,215.475,0.7057,0.2052,12.3114,0.0,0.0,0.0,0.0
ddpm,dimension_2d,generation,71.4391,128x128,deepjeb_2d_2d,Small,50.0,2336.2081,1.5319,2.2046,180.4333,0.3642,0.4208,12.5709,0.002,0.102,0.0004,0.002
ddpm,dimension_2d,generation,71.4391,128x128,deepjeb_2d_2d,Medium,100.0,2778.4982,1.5304,1.5571,144.6839,0.6701,0.1661,14.7354,0.522,0.092,0.262,0.31
ddpm,dimension_2d,generation,71.4391,128x128,deepjeb_2d_2d,Large,200.0,4046.2919,1.5271,1.5615,133.0562,0.8074,0.1125,15.5297,0.768,0.098,0.3964,0.492
ddpm,dimension_2d,generation,71.4391,128x128,deepjeb_2d_2d,Extra Large,500.0,6239.1334,1.5197,1.6326,129.0472,0.7967,0.1183,15.3547,0.706,0.182,0.356,0.498
ddpm,dimension_2d,generation,71.4391,128x128,deepwheel_2d_2d,Small,50.0,485.3917,3.4396,1.3211,405.8758,0.0243,0.2248,4.6904,0.0,0.0,0.0,0.0
ddpm,dimension_2d,generation,71.4391,128x128,deepwheel_2d_2d,Medium,100.0,4760.2497,1.6082,1.5998,143.5456,0.1593,0.2705,6.7707,0.186,0.008,0.0592,0.04
ddpm,dimension_2d,generation,71.4391,128x128,deepwheel_2d_2d,Large,200.0,7020.7469,1.5253,1.821,154.0922,0.3176,0.2404,6.9811,0.334,0.02,0.1108,0.15
ddpm,dimension_2d,generation,71.4391,128x128,deepwheel_2d_2d,Extra Large,500.0,13002.0976,1.6176,1.737,133.508,0.3512,0.2181,7.2678,0.676,0.06,0.398,0.432
ddpm,dimension_2d,generation,71.4391,128x128,drivaernet_2d_2d,Small,50.0,1808.3437,1.4842,2.6031,257.0502,0.0983,0.5708,7.2687,0.0,0.0,0.0,0.0
ddpm,dimension_2d,generation,71.4391,128x128,drivaernet_2d_2d,Medium,100.0,2410.5967,1.4839,2.2254,149.8958,0.3481,0.3683,10.2351,0.184,0.13,0.09,0.122
ddpm,dimension_2d,generation,71.4391,128x128,drivaernet_2d_2d,Large,200.0,3330.0208,1.4827,1.6953,88.2125,0.4439,0.2601,11.2342,0.58,0.118,0.4376,0.236
ddpm,dimension_2d,generation,71.4391,128x128,drivaernet_2d_2d,Extra Large,500.0,6315.3674,1.4808,1.543,78.1068,0.6476,0.1631,11.5712,0.84,0.03,0.6396,0.27
gan,dimension_2d,generation,76.3651,128x128,deepjeb_2d_2d,Small,50.0,2185.8731,0.0057,1.3118,255.1471,0.6474,0.1506,13.5796,0.0,0.0,0.0,0.0
gan,dimension_2d,generation,76.3651,128x128,deepjeb_2d_2d,Medium,100.0,2507.1056,0.0072,1.4488,137.6002,0.7909,0.1221,19.6349,0.0,0.0,0.0,0.0
gan,dimension_2d,generation,76.3651,128x128,deepjeb_2d_2d,Large,200.0,2077.9692,0.0057,1.2409,178.0813,0.8802,0.0854,19.7583,0.0,0.0,0.0,0.0
gan,dimension_2d,generation,76.3651,128x128,deepjeb_2d_2d,Extra Large,500.0,2383.3374,0.0095,1.5506,135.8604,0.7771,0.1331,18.8901,0.0,0.0,0.0,0.0
gan,dimension_2d,generation,76.3651,128x128,deepwheel_2d_2d,Small,50.0,4882.4447,0.0578,1.7344,219.7233,0.5382,0.2693,9.2271,0.0,0.0,0.0,0.0
gan,dimension_2d,generation,76.3651,128x128,deepwheel_2d_2d,Medium,100.0,7176.5978,0.0268,1.2925,127.8145,0.3764,0.2633,9.6595,0.16,0.0,0.032,0.002
gan,dimension_2d,generation,76.3651,128x128,deepwheel_2d_2d,Large,200.0,6594.8917,0.0382,1.5601,149.0754,0.3288,0.3341,9.322,0.1,0.0,0.02,0.002
gan,dimension_2d,generation,76.3651,128x128,deepwheel_2d_2d,Extra Large,500.0,7355.4079,0.0144,1.5116,143.9098,0.3755,0.2887,9.0479,0.002,0.0,0.0004,0.002
gan,dimension_2d,generation,76.3651,128x128,drivaernet_2d_2d,Small,50.0,1742.4781,0.0059,1.409,335.5293,0.4056,0.2145,8.5777,0.0,0.0,0.0,0.0
gan,dimension_2d,generation,76.3651,128x128,drivaernet_2d_2d,Medium,100.0,2136.2213,0.0063,2.227,321.9525,0.4842,0.3134,11.0527,0.0,0.0,0.0,0.0
gan,dimension_2d,generation,76.3651,128x128,drivaernet_2d_2d,Large,200.0,2208.0853,0.007,2.4746,267.6831,0.3579,0.343,10.4679,0.0,0.0,0.0,0.0
gan,dimension_2d,generation,76.3651,128x128,drivaernet_2d_2d,Extra Large,500.0,2410.4195,0.0061,2.2708,271.2697,0.4228,0.3391,11.5026,0.0,0.0,0.0,0.0
lsgan,dimension_2d,generation,39.0898,128x128,deepjeb_2d_2d,Small,50.0,524.627,0.0071,1.0339,345.5407,0.9807,0.0187,6.8527,0.0,0.0,0.0,0.0
lsgan,dimension_2d,generation,39.0898,128x128,deepjeb_2d_2d,Medium,100.0,541.3152,0.0074,1.0105,341.9484,0.9956,0.0045,6.9135,0.0,0.0,0.0,0.0
lsgan,dimension_2d,generation,39.0898,128x128,deepjeb_2d_2d,Large,200.0,1219.626,0.0058,1.277,115.9215,0.8103,0.0942,20.7775,0.0,0.0,0.0,0.0
lsgan,dimension_2d,generation,39.0898,128x128,deepjeb_2d_2d,Extra Large,500.0,1404.3058,0.0043,1.3879,71.3297,0.7903,0.1181,20.6023,0.01,0.0,0.002,0.002
lsgan,dimension_2d,generation,39.0898,128x128,deepwheel_2d_2d,Small,50.0,1102.0273,0.0362,1.0081,350.8289,0.993,0.0086,8.301,0.0,0.0,0.0,0.0
lsgan,dimension_2d,generation,39.0898,128x128,deepwheel_2d_2d,Medium,100.0,3405.7508,0.0094,1.1203,233.8417,0.9244,0.0605,9.8813,0.0,0.0,0.0,0.0
lsgan,dimension_2d,generation,39.0898,128x128,deepwheel_2d_2d,Large,200.0,4322.533,0.0368,1.389,257.8406,0.5537,0.221,9.1733,0.0,0.0,0.0,0.0
lsgan,dimension_2d,generation,39.0898,128x128,deepwheel_2d_2d,Extra Large,500.0,5102.6756,0.0153,1.214,141.9459,0.675,0.1872,8.9495,0.024,0.0,0.0048,0.002
lsgan,dimension_2d,generation,39.0898,128x128,drivaernet_2d_2d,Small,50.0,888.3041,0.0074,1.0188,367.5871,0.9953,0.0054,6.9919,0.0,0.0,0.0,0.0
