Model Name,Domain,Task,Parameters (M),Resolution,Dataset,Data Scale,Data Size,Target Key,Dimension,Training Time (s),Inference Time (s),MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
transolver_pp,dimension_3d,evaluation,1.7412,8192,deepjeb_3d_2d,Small,20.0,vertical,disp_x,759.3616,0.4681,0.2121,0.3855,46.1962,0.8912,0.3282,6.9778,0.8967
transolver_pp,dimension_3d,evaluation,1.7412,8192,deepjeb_3d_2d,Small,20.0,vertical,disp_y,759.3616,0.4681,0.2876,0.5529,75.3331,0.757,0.493,6.6355,0.8967
transolver_pp,dimension_3d,evaluation,1.7412,8192,deepjeb_3d_2d,Small,20.0,vertical,disp_z,759.3616,0.4681,0.2611,0.4007,49.1904,0.8807,0.3382,5.2299,0.8967
transolver_pp,dimension_3d,evaluation,1.7412,8192,deepjeb_3d_2d,Small,20.0,vertical,stress,759.3616,0.4681,0.5305,0.8047,87.1937,0.5707,0.6551,19.8004,
transolver_pp,dimension_3d,evaluation,1.7412,8192,deepjeb_3d_2d,Small,20.0,horizontal,disp_x,755.3952,0.3349,0.3245,0.4875,69.629,0.8202,0.4141,6.3192,0.8255
transolver_pp,dimension_3d,evaluation,1.7412,8192,deepjeb_3d_2d,Small,20.0,horizontal,disp_y,755.3952,0.3349,0.4245,0.6743,88.9599,0.6652,0.5786,11.6531,0.8255
transolver_pp,dimension_3d,evaluation,1.7412,8192,deepjeb_3d_2d,Small,20.0,horizontal,disp_z,755.3952,0.3349,0.2246,0.4167,38.7224,0.8791,0.3473,6.3902,0.8255
transolver_pp,dimension_3d,evaluation,1.7412,8192,deepjeb_3d_2d,Small,20.0,horizontal,stress,755.3952,0.3349,0.5656,0.8642,95.5815,0.5088,0.7009,18.7805,
transolver_pp,dimension_3d,evaluation,1.7412,8192,deepjeb_3d_2d,Small,20.0,torsion,disp_x,730.3642,0.3252,0.146,0.316,58.2759,0.9227,0.2781,6.2791,0.9536
transolver_pp,dimension_3d,evaluation,1.7412,8192,deepjeb_3d_2d,Small,20.0,torsion,disp_y,730.3642,0.3252,0.1561,0.3285,60.3726,0.9082,0.303,7.9302,0.9536
transolver_pp,dimension_3d,evaluation,1.7412,8192,deepjeb_3d_2d,Small,20.0,torsion,disp_z,730.3642,0.3252,0.2087,0.3956,70.3484,0.8828,0.3424,6.2312,0.9536
transolver_pp,dimension_3d,evaluation,1.7412,8192,deepjeb_3d_2d,Small,20.0,torsion,stress,730.3642,0.3252,0.3753,0.6562,102.3948,0.6637,0.5799,20.9335,
transolver_pp,dimension_3d,evaluation,1.7412,8192,deepjeb_3d_2d,Small,20.0,diagonal,disp_x,762.4015,0.3287,0.4662,0.703,87.8911,0.5738,0.6383,8.7141,0.7867
transolver_pp,dimension_3d,evaluation,1.7412,8192,deepjeb_3d_2d,Small,20.0,diagonal,disp_y,762.4015,0.3287,0.2963,0.5622,70.332,0.7487,0.5013,9.6111,0.7867
transolver_pp,dimension_3d,evaluation,1.7412,8192,deepjeb_3d_2d,Small,20.0,diagonal,disp_z,762.4015,0.3287,0.3759,0.5183,63.9373,0.7814,0.4457,5.1904,0.7867
transolver_pp,dimension_3d,evaluation,1.7412,8192,deepjeb_3d_2d,Small,20.0,diagonal,stress,762.4015,0.3287,0.5676,0.846,94.8401,0.4927,0.7046,19.792,
transolver_pp,dimension_3d,evaluation,1.741,8192,deepjeb_3d_2d,Small,20.0,mode_shape_1,mode_x,676.3928,0.2897,0.9856,1.4684,138.5857,-0.518,1.2321,15.0399,0.6136
transolver_pp,dimension_3d,evaluation,1.741,8192,deepjeb_3d_2d,Small,20.0,mode_shape_1,mode_y,676.3928,0.2897,0.89,1.4739,137.6617,-0.5975,1.2639,15.1617,0.6136
transolver_pp,dimension_3d,evaluation,1.741,8192,deepjeb_3d_2d,Small,20.0,mode_shape_1,mode_z,676.3928,0.2897,1.0532,1.4804,134.5796,-0.4909,1.221,9.9249,0.6136
transolver_pp,dimension_3d,evaluation,1.741,8192,deepjeb_3d_2d,Small,20.0,mode_shape_2,mode_x,673.5828,0.2794,0.9663,1.3512,143.9614,-0.3381,1.1568,15.9943,0.5064
transolver_pp,dimension_3d,evaluation,1.741,8192,deepjeb_3d_2d,Small,20.0,mode_shape_2,mode_y,673.5828,0.2794,0.7333,1.2945,138.375,-0.3621,1.1671,29.6981,0.5064
transolver_pp,dimension_3d,evaluation,1.741,8192,deepjeb_3d_2d,Small,20.0,mode_shape_2,mode_z,673.5828,0.2794,0.94,1.4448,133.4356,-0.5293,1.2367,9.2977,0.5064
transolver_pp,dimension_3d,evaluation,1.7412,8192,deepjeb_3d_2d,Medium,50.0,vertical,disp_x,1754.7863,0.2224,0.1395,0.2655,33.1953,0.9484,0.2261,6.1209,0.9447
transolver_pp,dimension_3d,evaluation,1.7412,8192,deepjeb_3d_2d,Medium,50.0,vertical,disp_y,1754.7863,0.2224,0.206,0.4061,64.2448,0.8689,0.362,8.055,0.9447
