Model Name,Domain,Task,Parameters (M),Resolution,Dataset,Data Scale,Data Size,Training Time (s),Inference Time (s),MV-FID ↓,FPD ↓,MMD-CD ↓,COV-CD ↑,1-NNA-CD ↓,MS-SSIM ↓,Precision ↑,Recall ↑,Density ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
atlasnet,dimension_3d,generation,28.7681,8192,deepjeb_3d_3d,Small,20,861.7991,0.0047,189.6934,44.5983,4.4528,0.208,1.0,0.5183,0.0,0.0,0.0,0.0,0.1074,0.3647
atlasnet,dimension_3d,generation,28.7681,8192,deepjeb_3d_3d,Medium,50,905.5526,0.0047,206.9694,33.2905,4.1567,0.174,1.0,0.5148,0.0,0.0,0.0,0.0,0.1058,0.4104
atlasnet,dimension_3d,generation,28.7681,8192,deepjeb_3d_3d,Large,100,831.5486,0.0041,149.61,47.153,3.8778,0.222,0.999,0.5328,0.0,0.0,0.0,0.0,0.1071,0.4013
atlasnet,dimension_3d,generation,28.7681,8192,deepjeb_3d_3d,Extra Large,200,1453.8361,0.004,145.3691,48.8677,3.3628,0.234,0.995,0.53,0.0,0.0,0.0,0.0,0.0943,0.4927
atlasnet,dimension_3d,generation,28.7681,8192,deepwheel_3d_3d,Small,20,1325.1858,0.0265,159.4193,17.669,4.3162,0.142,1.0,0.269,0.0,0.0,0.0,0.0,0.0113,0.2806
atlasnet,dimension_3d,generation,28.7681,8192,deepwheel_3d_3d,Medium,50,829.7915,0.0046,166.251,14.7201,4.4452,0.104,1.0,0.2986,0.0,0.014,0.0,0.0,0.0234,0.2966
atlasnet,dimension_3d,generation,28.7681,8192,deepwheel_3d_3d,Large,100,2307.4807,0.0046,131.5409,22.646,3.7448,0.112,0.981,0.2888,0.0,0.0,0.0,0.0,0.01,0.2344
atlasnet,dimension_3d,generation,28.7681,8192,deepwheel_3d_3d,Extra Large,200,1558.995,0.0047,133.6154,13.5056,3.8747,0.082,1.0,0.2919,0.0,0.0,0.0,0.0,0.0132,0.2889
atlasnet,dimension_3d,generation,28.7681,8192,drivaernet_3d_3d,Small,20,1026.098,0.0047,161.4181,30.7505,2.409,0.258,1.0,0.6109,0.0,0.0,0.0,0.0,0.0644,0.2831
atlasnet,dimension_3d,generation,28.7681,8192,drivaernet_3d_3d,Medium,50,1193.8569,0.0042,162.876,33.5614,2.2441,0.136,1.0,0.6614,0.0,0.0,0.0,0.0,0.0549,0.1788
atlasnet,dimension_3d,generation,28.7681,8192,drivaernet_3d_3d,Large,100,1540.5066,0.0042,98.8415,37.6649,1.9642,0.144,1.0,0.669,0.0,0.0,0.0,0.0,0.0243,0.2628
atlasnet,dimension_3d,generation,28.7681,8192,drivaernet_3d_3d,Extra Large,200,1624.9709,0.0041,81.7129,26.6567,1.9916,0.15,1.0,0.6553,0.0,0.0,0.0,0.0,0.0169,0.2903
deepsdf,dimension_3d,generation,2.1509,8192,deepjeb_3d_3d,Small,20,5487.0288,0.3676,23.5481,7.5457,2.7832,0.366,0.886,0.5201,0.836,0.59,0.8588,0.726,0.0012,0.0008
deepsdf,dimension_3d,generation,2.1509,8192,deepjeb_3d_3d,Medium,50,6885.5817,0.3654,33.7771,8.9434,2.8903,0.278,0.908,0.54,0.98,0.372,1.3864,0.678,0.0103,0.0002
deepsdf,dimension_3d,generation,2.1509,8192,deepjeb_3d_3d,Large,100,8873.8756,0.3643,40.8772,15.6485,3.2415,0.138,0.945,0.5375,0.99,0.074,1.5768,0.434,0.0095,0.0004
deepsdf,dimension_3d,generation,2.1509,8192,deepjeb_3d_3d,Extra Large,200,28374.3133,0.3732,45.0323,17.6811,3.1324,0.186,0.934,0.5178,0.986,0.158,1.3896,0.508,0.0016,0.0001
deepsdf,dimension_3d,generation,2.1509,8192,deepwheel_3d_3d,Small,20,2965.9415,0.4463,96.2667,4.8569,3.8433,0.11,0.959,0.2601,0.706,0.18,0.696,0.472,0.0004,0.0034
deepsdf,dimension_3d,generation,2.1509,8192,deepwheel_3d_3d,Medium,50,4619.8835,0.4573,80.0762,4.8719,3.888,0.156,0.979,0.2622,0.672,0.156,0.6308,0.468,0.0047,0.0077
deepsdf,dimension_3d,generation,2.1509,8192,deepwheel_3d_3d,Large,100,5640.0429,0.4356,63.8568,4.5332,3.8197,0.208,0.977,0.2574,0.732,0.186,0.736,0.532,0.0071,0.0073
deepsdf,dimension_3d,generation,2.1509,8192,deepwheel_3d_3d,Extra Large,200,9379.8074,0.4351,73.6449,4.9463,3.85,0.162,0.99,0.2613,0.612,0.342,0.4416,0.446,0.0097,0.0099
deepsdf,dimension_3d,generation,2.1509,8192,drivaernet_3d_3d,Small,20,7474.5443,2.1029,319.3579,221.1592,21.9427,0.04,1.0,0.4017,0.0,0.0,0.0,0.0,0.0691,0.0038
deepsdf,dimension_3d,generation,2.1509,8192,drivaernet_3d_3d,Medium,50,8983.0511,0.3529,13.6663,8.8074,1.9166,0.154,1.0,0.6542,0.086,0.11,0.0328,0.122,0.0251,0.0039
deepsdf,dimension_3d,generation,2.1509,8192,drivaernet_3d_3d,Large,100,30358.9766,0.3929,7.8039,5.6824,2.0365,0.102,1.0,0.6558,0.174,0.05,0.0804,0.182,0.0209,0.004
deepsdf,dimension_3d,generation,2.1509,8192,drivaernet_3d_3d,Extra Large,200,58633.7823,0.3518,12.6045,7.6526,1.9873,0.176,1.0,0.6526,0.068,0.118,0.0252,0.094,0.0262,0.0044
diffusionpointcloud,dimension_3d,generation,3.8798,8192,deepjeb_3d_3d,Small,20,145.7171,0.0195,437.4261,80.531,6.133,0.032,1.0,0.6437,0.0,0.0,0.0,0.0,0.17,0.1134
