Rank,domain,task,model,dataset,size,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),IS (Value),IS (Rank),IS (Weight),FID (Value),FID (Rank),FID (Weight),LPIPS (Value),LPIPS (Rank),LPIPS (Weight),PSNR (Value),PSNR (Rank),PSNR (Weight),MS-SSIM (Value),MS-SSIM (Rank),MS-SSIM (Weight),Precision (Value),Precision (Rank),Precision (Weight),Density (Value),Density (Rank),Density (Weight),Recall (Value),Recall (Rank),Recall (Weight),Coverage (Value),Coverage (Rank),Coverage (Weight)
1,dimension_2d,generation,ddpm,deepjeb_2d_2d,L,100.0,0.4444,71.4391,8,0,8767.7409,8,0,3.5469,9,0,1.7447,1,0.1009,136.0296,7,0.1134,0.1113,3,0.1248,15.5572,9,0.1564,0.8099,4,0.1027,0.698,1,0.0954,0.3116,1,0.0954,0.378,1,0.119,0.478,1,0.0921
1,dimension_2d,generation,ddpm,deepjeb_2d_2d,M,100.0,0.4861,71.4391,8,0,6821.0109,8,0,3.5365,9,0,1.6853,1,0.1055,136.8438,6,0.1378,0.1234,1,0.0954,15.0493,8,0.1759,0.7774,1,0.0963,0.746,1,0.0941,0.4568,1,0.0941,0.132,1,0.108,0.522,1,0.093
1,dimension_2d,generation,ddpm,deepjeb_2d_2d,S,100.0,0.4444,71.4391,8,0,5463.9356,7,0,3.5512,9,0,1.7696,1,0.1277,158.9211,4,0.1206,0.37,1,0.1201,13.1164,8,0.1375,0.4093,1,0.1165,0.026,2,0.099,0.006,2,0.099,0.136,1,0.0859,0.02,1,0.0937
1,dimension_2d,generation,ddpm,deepjeb_2d_2d,XL,100.0,0.4861,71.4391,8,0,16075.8332,9,0,3.5519,9,0,1.8326,1,0.1178,129.4244,7,0.1118,0.1263,3,0.138,15.1864,9,0.1227,0.7776,2,0.1185,0.7,2,0.1029,0.3384,2,0.1029,0.432,1,0.0956,0.528,1,0.0898
1,dimension_2d,generation,ddpm,drivaernet_2d_2d,L,100.0,0.4861,71.4391,8,0,9067.7578,8,0,3.5631,9,0,1.7697,7,0.1297,85.6065,1,0.1104,0.2839,3,0.1157,10.8812,8,0.1393,0.413,2,0.098,0.57,1,0.0938,0.3696,1,0.0938,0.274,1,0.1255,0.238,1,0.0938
1,dimension_2d,generation,ddpm,drivaernet_2d_2d,M,100.0,0.4861,71.4391,8,0,6404.5825,8,0,3.5422,9,0,2.1828,4,0.1514,132.5149,1,0.1112,0.4264,1,0.0924,9.8628,8,0.1772,0.2109,1,0.0924,0.17,1,0.088,0.0992,1,0.088,0.146,1,0.1114,0.124,1,0.088
1,dimension_2d,generation,ddpm,drivaernet_2d_2d,S,100.0,0.4722,71.4391,8,0,5191.8329,8,0,3.5486,9,0,2.6994,1,0.0571,251.3046,2,0.0685,0.5622,1,0.0535,7.4875,8,0.0803,0.1064,1,0.0553,0.0,1,0.1713,0.0,1,0.1713,0.0,1,0.1713,0.0,1,0.1713
1,dimension_2d,generation,ddpm,drivaernet_2d_2d,XL,100.0,0.5,71.4391,8,0,16175.6151,9,0,3.5396,9,0,1.6683,8,0.1343,83.9859,1,0.0914,0.1649,8,0.1174,11.6682,8,0.1853,0.6397,4,0.111,0.722,1,0.085,0.4956,1,0.085,0.178,1,0.1051,0.278,1,0.0854
2,dimension_2d,generation,vqvae,deepjeb_2d_2d,L,59.1072,0.4444,4.8899,1,0,1993.114,2,0,0.032,2,0,1.4444,2,0.1009,74.0815,1,0.1134,0.1009,5,0.1248,21.2937,2,0.1564,0.8027,3,0.1027,0.07,3,0.0954,0.016,3,0.0954,0.012,2,0.119,0.026,3,0.0921
2,dimension_2d,generation,vae,deepjeb_2d_2d,M,56.3898,0.4861,50.718,7,0,3384.7363,6,0,0.0453,3,0,1.1148,8,0.1055,101.0518,1,0.1378,0.1207,2,0.0954,17.5423,7,0.1759,0.8959,7,0.0963,0.02,2,0.0941,0.004,2,0.0941,0.0,2,0.108,0.002,2,0.093
2,dimension_2d,generation,vae,deepjeb_2d_2d,S,61.3444,0.4444,50.718,7,0,5619.8362,8,0,0.0493,4,0,1.0387,8,0.1277,101.9902,1,0.1206,0.0169,8,0.1201,22.5483,1,0.1375,0.9888,9,0.1165,0.112,1,0.099,0.0224,1,0.099,0.0,2,0.0859,0.002,2,0.0937
