Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9
1,PSNR,0.2137,vae,vqvae,wgan_gp,dcgan,r1gan,gan,wgan_cp,ddpm,lsgan
2,IS,0.1162,vqvae,r1gan,wgan_gp,ddpm,gan,dcgan,vae,lsgan,wgan_cp
3,FID,0.1103,ddpm,vae,r1gan,gan,dcgan,vqvae,wgan_gp,lsgan,wgan_cp
4,LPIPS,0.1005,ddpm,r1gan,gan,wgan_gp,vqvae,dcgan,vae,wgan_cp,lsgan
5,MS-SSIM,0.0973,ddpm,gan,wgan_gp,r1gan,vqvae,vae,dcgan,lsgan,wgan_cp
6,Recall,0.0958,ddpm,vqvae,vae,wgan_gp,dcgan,gan,lsgan,r1gan,wgan_cp
7,Density,0.0888,ddpm,gan,vae,vqvae,r1gan,wgan_gp,dcgan,lsgan,wgan_cp
8,Precision,0.0888,ddpm,gan,vae,vqvae,r1gan,wgan_gp,dcgan,lsgan,wgan_cp
9,Coverage,0.0886,ddpm,vae,vqvae,gan,r1gan,wgan_gp,dcgan,lsgan,wgan_cp
10,Inference Time (s),0.0,r1gan,wgan_gp,vae,wgan_cp,lsgan,vqvae,dcgan,gan,ddpm
11,Parameters (M),0.0,vqvae,wgan_cp,wgan_gp,dcgan,r1gan,lsgan,vae,ddpm,gan
12,Training Time (s),0.0,wgan_cp,vqvae,wgan_gp,dcgan,r1gan,lsgan,vae,ddpm,gan
