Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9
1,PSNR,0.1484,vae,vqvae,dcgan,wgan_gp,wgan_cp,r1gan,lsgan,gan,ddpm
2,FID,0.1407,ddpm,r1gan,vae,wgan_gp,lsgan,vqvae,dcgan,gan,wgan_cp
3,IS,0.1137,wgan_gp,r1gan,vqvae,gan,dcgan,ddpm,vae,lsgan,wgan_cp
4,MS-SSIM,0.112,gan,wgan_gp,r1gan,ddpm,vqvae,dcgan,vae,lsgan,wgan_cp
5,LPIPS,0.1082,gan,r1gan,wgan_gp,vqvae,dcgan,ddpm,lsgan,vae,wgan_cp
6,Recall,0.0961,ddpm,r1gan,vqvae,wgan_gp,vae,dcgan,gan,lsgan,wgan_cp
7,Coverage,0.095,ddpm,vqvae,vae,r1gan,wgan_gp,lsgan,dcgan,gan,wgan_cp
8,Density,0.0929,ddpm,vae,vqvae,r1gan,wgan_gp,lsgan,dcgan,gan,wgan_cp
9,Precision,0.0929,ddpm,vae,vqvae,r1gan,wgan_gp,lsgan,dcgan,gan,wgan_cp
10,Inference Time (s),0.0,wgan_cp,vae,lsgan,vqvae,dcgan,r1gan,gan,wgan_gp,ddpm
11,Parameters (M),0.0,vqvae,wgan_cp,wgan_gp,dcgan,r1gan,lsgan,vae,ddpm,gan
12,Training Time (s),0.0,wgan_cp,vqvae,dcgan,wgan_gp,r1gan,lsgan,vae,gan,ddpm
