Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9
1,PSNR,0.1759,vqvae,wgan_gp,r1gan,dcgan,gan,wgan_cp,vae,ddpm,lsgan
2,FID,0.1378,vae,r1gan,vqvae,dcgan,wgan_gp,ddpm,gan,wgan_cp,lsgan
3,Recall,0.108,ddpm,dcgan,gan,lsgan,r1gan,vae,vqvae,wgan_cp,wgan_gp
4,IS,0.1055,ddpm,vqvae,r1gan,wgan_gp,gan,dcgan,wgan_cp,vae,lsgan
5,MS-SSIM,0.0963,ddpm,wgan_gp,r1gan,vqvae,dcgan,gan,vae,wgan_cp,lsgan
6,LPIPS,0.0954,ddpm,vae,wgan_gp,r1gan,gan,vqvae,dcgan,wgan_cp,lsgan
7,Density,0.0941,ddpm,vae,vqvae,wgan_gp,dcgan,gan,lsgan,r1gan,wgan_cp
8,Precision,0.0941,ddpm,vae,vqvae,wgan_gp,dcgan,gan,lsgan,r1gan,wgan_cp
9,Coverage,0.093,ddpm,vae,vqvae,wgan_gp,dcgan,gan,lsgan,r1gan,wgan_cp
10,Inference Time (s),0.0,vqvae,lsgan,vae,wgan_gp,r1gan,gan,dcgan,wgan_cp,ddpm
11,Parameters (M),0.0,vqvae,wgan_cp,wgan_gp,dcgan,r1gan,lsgan,vae,ddpm,gan
12,Training Time (s),0.0,vqvae,wgan_cp,lsgan,r1gan,wgan_gp,vae,dcgan,ddpm,gan
