Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9
1,FID,0.139,dcgan,ddpm,lsgan,gan,r1gan,wgan_gp,vqvae,vae,wgan_cp
2,LPIPS,0.1379,gan,r1gan,wgan_gp,ddpm,vqvae,lsgan,vae,dcgan,wgan_cp
3,PSNR,0.1362,vae,vqvae,wgan_gp,lsgan,r1gan,gan,dcgan,ddpm,wgan_cp
4,MS-SSIM,0.1101,ddpm,r1gan,wgan_gp,gan,vae,vqvae,dcgan,lsgan,wgan_cp
5,Precision,0.1005,ddpm,vqvae,r1gan,lsgan,dcgan,wgan_gp,vae,gan,wgan_cp
6,Density,0.099,ddpm,vqvae,r1gan,dcgan,lsgan,wgan_gp,vae,gan,wgan_cp
7,Recall,0.0986,ddpm,r1gan,vqvae,vae,dcgan,gan,lsgan,wgan_cp,wgan_gp
8,IS,0.091,vqvae,r1gan,wgan_gp,ddpm,gan,vae,lsgan,dcgan,wgan_cp
9,Coverage,0.0876,ddpm,vqvae,r1gan,wgan_gp,gan,lsgan,vae,dcgan,wgan_cp
10,Inference Time (s),0.0,wgan_gp,vae,r1gan,lsgan,gan,vqvae,wgan_cp,dcgan,ddpm
11,Parameters (M),0.0,vqvae,wgan_cp,wgan_gp,dcgan,r1gan,lsgan,vae,ddpm,gan
12,Training Time (s),0.0,wgan_cp,r1gan,vqvae,wgan_gp,dcgan,vae,lsgan,gan,ddpm
