Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9
1,PSNR,0.2005,vae,vqvae,dcgan,wgan_cp,r1gan,wgan_gp,lsgan,ddpm,gan
2,MS-SSIM,0.1195,gan,wgan_gp,r1gan,ddpm,vqvae,dcgan,vae,lsgan,wgan_cp
3,LPIPS,0.1162,gan,r1gan,wgan_gp,vqvae,vae,dcgan,ddpm,lsgan,wgan_cp
4,IS,0.1066,wgan_gp,r1gan,vqvae,dcgan,gan,vae,lsgan,ddpm,wgan_cp
5,FID,0.106,ddpm,r1gan,vae,lsgan,wgan_gp,dcgan,vqvae,gan,wgan_cp
6,Recall,0.1024,ddpm,r1gan,vae,vqvae,dcgan,gan,lsgan,wgan_cp,wgan_gp
7,Density,0.083,ddpm,vae,dcgan,gan,lsgan,r1gan,vqvae,wgan_cp,wgan_gp
8,Precision,0.083,ddpm,vae,dcgan,gan,lsgan,r1gan,vqvae,wgan_cp,wgan_gp
9,Coverage,0.083,ddpm,vae,dcgan,gan,lsgan,r1gan,vqvae,wgan_cp,wgan_gp
10,Inference Time (s),0.0,wgan_cp,vae,lsgan,vqvae,gan,dcgan,r1gan,wgan_gp,ddpm
11,Parameters (M),0.0,vqvae,wgan_cp,wgan_gp,dcgan,r1gan,lsgan,vae,ddpm,gan
12,Training Time (s),0.0,wgan_cp,vqvae,dcgan,r1gan,wgan_gp,lsgan,vae,gan,ddpm
