Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9
1,Inference Time (s),0.113,vqvae,lsgan,vae,wgan_gp,r1gan,gan,dcgan,wgan_cp,ddpm
2,Parameters (M),0.1036,vqvae,wgan_cp,wgan_gp,dcgan,r1gan,lsgan,vae,ddpm,gan
3,PSNR,0.1001,vqvae,wgan_gp,r1gan,dcgan,gan,wgan_cp,vae,ddpm,lsgan
4,Training Time (s),0.0978,vqvae,wgan_cp,lsgan,r1gan,wgan_gp,vae,dcgan,ddpm,gan
5,FID,0.0976,vae,r1gan,vqvae,dcgan,wgan_gp,ddpm,gan,wgan_cp,lsgan
6,IS,0.0765,ddpm,vqvae,r1gan,wgan_gp,gan,dcgan,wgan_cp,vae,lsgan
7,Coverage,0.0713,ddpm,vae,vqvae,wgan_gp,dcgan,gan,lsgan,r1gan,wgan_cp
8,Precision,0.0704,ddpm,vae,vqvae,wgan_gp,dcgan,gan,lsgan,r1gan,wgan_cp
9,Density,0.0704,ddpm,vae,vqvae,wgan_gp,dcgan,gan,lsgan,r1gan,wgan_cp
10,MS-SSIM,0.0686,ddpm,wgan_gp,r1gan,vqvae,dcgan,gan,vae,wgan_cp,lsgan
11,Recall,0.0671,ddpm,dcgan,gan,lsgan,r1gan,vae,vqvae,wgan_cp,wgan_gp
12,LPIPS,0.0637,ddpm,vae,wgan_gp,r1gan,gan,vqvae,dcgan,wgan_cp,lsgan
