Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9
1,Coverage,0.1837,dcgan,ddpm,gan,lsgan,r1gan,vae,vqvae,wgan_cp,wgan_gp
2,Precision,0.1837,dcgan,ddpm,gan,lsgan,r1gan,vae,vqvae,wgan_cp,wgan_gp
3,Density,0.1837,dcgan,ddpm,gan,lsgan,r1gan,vae,vqvae,wgan_cp,wgan_gp
4,Parameters (M),0.0602,vqvae,wgan_cp,wgan_gp,dcgan,r1gan,lsgan,vae,ddpm,gan
5,Recall,0.0575,vae,dcgan,ddpm,gan,lsgan,r1gan,vqvae,wgan_cp,wgan_gp
6,PSNR,0.0507,vae,dcgan,vqvae,wgan_gp,r1gan,gan,lsgan,wgan_cp,ddpm
7,FID,0.0499,r1gan,dcgan,vae,gan,vqvae,wgan_cp,lsgan,wgan_gp,ddpm
8,IS,0.0486,vqvae,r1gan,gan,vae,ddpm,wgan_cp,wgan_gp,dcgan,lsgan
9,MS-SSIM,0.048,ddpm,vqvae,gan,r1gan,vae,wgan_gp,wgan_cp,dcgan,lsgan
10,Training Time (s),0.0452,wgan_gp,wgan_cp,ddpm,vqvae,lsgan,dcgan,r1gan,vae,gan
11,Inference Time (s),0.0449,vae,wgan_cp,r1gan,dcgan,lsgan,wgan_gp,vqvae,gan,ddpm
12,LPIPS,0.0439,gan,ddpm,r1gan,vqvae,vae,wgan_gp,wgan_cp,dcgan,lsgan
