Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9
1,LPIPS,0.1008,gan,r1gan,wgan_gp,ddpm,vqvae,lsgan,dcgan,vae,wgan_cp
2,Parameters (M),0.0953,vqvae,wgan_cp,wgan_gp,dcgan,r1gan,lsgan,vae,ddpm,gan
3,MS-SSIM,0.0916,r1gan,ddpm,wgan_gp,gan,vae,vqvae,dcgan,lsgan,wgan_cp
4,Recall,0.0903,ddpm,r1gan,vqvae,dcgan,gan,lsgan,vae,wgan_cp,wgan_gp
5,Training Time (s),0.0871,wgan_cp,wgan_gp,r1gan,vae,dcgan,vqvae,lsgan,gan,ddpm
6,Coverage,0.0847,ddpm,vqvae,r1gan,wgan_gp,dcgan,gan,lsgan,vae,wgan_cp
7,FID,0.0805,dcgan,ddpm,lsgan,gan,r1gan,wgan_gp,vqvae,vae,wgan_cp
8,PSNR,0.0772,vae,vqvae,wgan_gp,r1gan,gan,lsgan,dcgan,ddpm,wgan_cp
9,Density,0.0759,ddpm,dcgan,vqvae,lsgan,wgan_gp,r1gan,vae,gan,wgan_cp
10,Precision,0.0759,ddpm,dcgan,vqvae,lsgan,wgan_gp,r1gan,vae,gan,wgan_cp
11,IS,0.0739,vqvae,r1gan,wgan_gp,ddpm,gan,vae,dcgan,lsgan,wgan_cp
12,Inference Time (s),0.0668,wgan_gp,r1gan,vqvae,vae,gan,lsgan,wgan_cp,dcgan,ddpm
