Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9
1,PSNR,0.1195,vae,wgan_cp,vqvae,wgan_gp,r1gan,dcgan,gan,ddpm,lsgan
2,IS,0.1171,wgan_gp,r1gan,vqvae,ddpm,gan,dcgan,vae,lsgan,wgan_cp
3,Inference Time (s),0.0904,lsgan,vae,vqvae,r1gan,gan,wgan_cp,dcgan,wgan_gp,ddpm
4,Parameters (M),0.0887,vqvae,wgan_cp,wgan_gp,dcgan,r1gan,lsgan,vae,ddpm,gan
5,Training Time (s),0.0836,vqvae,wgan_cp,r1gan,wgan_gp,lsgan,dcgan,vae,ddpm,gan
6,Recall,0.0834,ddpm,vae,wgan_gp,dcgan,gan,lsgan,r1gan,vqvae,wgan_cp
7,FID,0.0782,ddpm,vae,dcgan,r1gan,gan,wgan_gp,vqvae,wgan_cp,lsgan
8,LPIPS,0.0699,ddpm,gan,r1gan,wgan_gp,vqvae,dcgan,vae,wgan_cp,lsgan
9,MS-SSIM,0.0699,ddpm,gan,r1gan,wgan_gp,vqvae,dcgan,vae,wgan_cp,lsgan
10,Precision,0.0665,ddpm,dcgan,gan,lsgan,r1gan,vae,vqvae,wgan_cp,wgan_gp
11,Density,0.0665,ddpm,dcgan,gan,lsgan,r1gan,vae,vqvae,wgan_cp,wgan_gp
12,Coverage,0.0665,ddpm,dcgan,gan,lsgan,r1gan,vae,vqvae,wgan_cp,wgan_gp
