Rank,domain,task,model,dataset,size,Group Key,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),MAE (Value),MAE (Rank),MAE (Weight),RMSE (Value),RMSE (Rank),RMSE (Weight),MAPE (%) (Value),MAPE (%) (Rank),MAPE (%) (Weight),R² (Value),R² (Rank),R² (Weight),Rel-L2 (Value),Rel-L2 (Rank),Rel-L2 (Weight),MaxAE (Value),MaxAE (Rank),MaxAE (Weight),MAC (Value),MAC (Rank),MAC (Weight)
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,diagonal::disp_x,100.0,0.45,3.7788,4,0.1912,2553.9346,1,0.1245,0.2243,3,0.1487,0.303,1,0.0744,0.4748,1,0.0744,66.1536,1,0.0744,0.8056,1,0.0744,0.4311,1,0.0744,6.8662,1,0.0799,0.9072,2.0,0.0837
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,diagonal::disp_y,100.0,0.45,3.7788,4,0.1738,2553.9346,1,0.1593,0.2243,3,0.1124,0.1698,1,0.0856,0.3267,1,0.0775,51.8861,1,0.0856,0.9151,1,0.0775,0.2914,1,0.0775,7.083,2,0.0754,0.9072,2.0,0.0754
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,diagonal::disp_z,100.0,0.45,3.7788,4,0.1203,2553.9346,1,0.1564,0.2243,3,0.1026,0.2864,2,0.0792,0.3708,2,0.0792,55.5301,3,0.1455,0.8881,2,0.0792,0.3188,2,0.0792,3.4441,2,0.0792,0.9072,2.0,0.0792
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,L,diagonal::stress,100.0,0.45,1.7412,2,0.1907,3383.6801,3,0.1369,0.2213,2,0.1443,0.42,2,0.0875,0.6627,2,0.0875,75.5564,3,0.0875,0.6887,2,0.0875,0.552,2,0.0875,19.5151,2,0.0905,,,0.0
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,L,horizontal::disp_x,100.0,0.45,1.7412,2,0.1119,3412.0983,3,0.1953,0.2232,2,0.1307,0.1939,2,0.0731,0.2542,2,0.0731,52.7118,3,0.0816,0.9511,2,0.0731,0.2159,2,0.0731,5.0016,1,0.0941,0.9288,1.0,0.0941
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,L,horizontal::disp_y,100.0,0.45,1.7412,2,0.1534,3412.0983,3,0.1602,0.2232,2,0.2308,0.273,1,0.0651,0.4713,1,0.0651,63.645,1,0.0651,0.8365,1,0.0651,0.4044,1,0.0651,11.4191,1,0.0651,0.9288,1.0,0.0651
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,L,horizontal::disp_z,100.0,0.45,1.7412,2,0.1404,3412.0983,3,0.1649,0.2232,2,0.1992,0.0997,1,0.0697,0.1985,1,0.0697,20.3984,1,0.0697,0.9726,1,0.0697,0.1654,1,0.0697,4.2745,2,0.0771,0.9288,1.0,0.0697
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,L,horizontal::stress,100.0,0.5,1.7412,2,0.1797,3412.0983,3,0.1146,0.2232,2,0.1811,0.3749,2,0.0792,0.661,1,0.0764,65.7295,2,0.0792,0.7126,1,0.0764,0.5361,1,0.0764,17.6135,1,0.1369,,,0.0
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,mode_shape_1::mode_x,100.0,0.45,3.7785,4,0.2005,2034.7117,1,0.0887,0.1944,2,0.0887,0.8633,1,0.0865,1.1918,1,0.0865,196.8382,4,0.0887,0.0,1,0.0865,1.0,1,0.0865,15.5851,1,0.0887,0.0168,4.0,0.0988
1,dimension_3d,evaluation,pointnet,deepjeb_3d_2d,L,mode_shape_1::mode_y,100.0,0.45,3.6681,3,0.134,2573.1286,2,0.0913,0.1911,1,0.0901,0.7901,1,0.0884,1.1661,1,0.0852,197.9075,5,0.0901,0.0,2,0.0879,1.0,1,0.0852,15.2155,2,0.1366,0.0095,5.0,0.1111
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,mode_shape_1::mode_z,100.0,0.35,3.7785,4,0.2043,2034.7117,1,0.0891,0.1944,2,0.0872,0.9804,1,0.0859,1.2125,2,0.0872,197.3846,4,0.0872,-0.0001,2,0.0872,1.0,1,0.0859,8.0502,1,0.0891,0.0168,4.0,0.097
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,mode_shape_2::mode_x,100.0,0.45,3.7785,4,0.1544,1530.4203,2,0.1178,0.1963,2,0.0837,0.8864,2,0.0837,1.1682,2,0.0837,191.2043,4,0.0837,-0.0003,2,0.0837,1.0002,2,0.0837,13.5387,3,0.1418,0.0726,4.0,0.0837
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,mode_shape_2::mode_y,100.0,0.45,3.7785,4,0.1567,1530.4203,2,0.1219,0.1963,2,0.0904,0.6414,2,0.0883,1.1096,2,0.0883,179.2098,4,0.0904,-0.0008,2,0.0883,1.0004,2,0.0883,25.5453,1,0.0972,0.0726,4.0,0.0904
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,mode_shape_2::mode_z,100.0,0.45,3.7785,4,0.1454,1530.4203,2,0.126,0.1963,2,0.0922,0.8705,1,0.09,1.168,1,0.09,188.7379,4,0.0922,0.0005,1,0.09,0.9998,1,0.09,6.8447,2,0.0922,0.0726,4.0,0.0922
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,torsion::disp_x,100.0,0.5,3.7788,4,0.1698,2251.7114,1,0.1539,0.2141,2,0.1589,0.0795,1,0.0704,0.1682,1,0.0704,41.1835,2,0.0758,0.9781,1,0.0704,0.148,1,0.0704,4.8836,2,0.0807,0.9833,1.0,0.0794
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,torsion::disp_y,100.0,0.5,3.7788,4,0.2048,2251.7114,1,0.1328,0.2141,2,0.182,0.0941,1,0.0673,0.2028,1,0.0673,43.1231,1,0.0673,0.965,1,0.0673,0.1871,1,0.0673,6.6583,1,0.0692,0.9833,1.0,0.0745
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,torsion::disp_z,100.0,0.5,3.7788,4,0.1407,2251.7114,1,0.1785,0.2141,2,0.2321,0.119,1,0.0636,0.2218,1,0.0636,47.8456,1,0.0673,0.9632,1,0.0636,0.1919,1,0.0636,4.2952,1,0.0636,0.9833,1.0,0.0636
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,torsion::stress,100.0,0.5,3.7788,4,0.1394,2251.7114,1,0.2125,0.2141,2,0.194,0.2671,1,0.0744,0.5145,1,0.0744,78.3193,2,0.0783,0.7932,1,0.0744,0.4548,1,0.0744,22.4774,4,0.0783,,,0.0
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,vertical::disp_x,100.0,0.5,3.7788,4,0.1724,2053.2433,1,0.1494,0.224,2,0.1455,0.1057,2,0.0723,0.2112,2,0.0723,26.4635,1,0.0712,0.9673,2,0.0723,0.1799,2,0.0723,4.6598,3,0.098,0.9676,1.0,0.0746
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,vertical::disp_y,100.0,0.5,3.7788,4,0.1547,2053.2433,1,0.154,0.224,2,0.1719,0.1802,2,0.0691,0.3479,2,0.0691,59.6608,2,0.0794,0.9038,2,0.0691,0.3101,2,0.0691,6.6311,2,0.0914,0.9676,1.0,0.0722
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,vertical::disp_z,100.0,0.5,3.7788,4,0.1934,2053.2433,1,0.1369,0.224,2,0.1581,0.1643,2,0.0763,0.2453,1,0.0706,33.4698,1,0.0706,0.9553,1,0.0706,0.2071,1,0.0706,3.2589,1,0.0764,0.9676,1.0,0.0764
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,vertical::stress,100.0,0.5,3.7788,4,0.1735,2053.2433,1,0.1666,0.224,2,0.1997,0.3954,2,0.0754,0.6439,2,0.0754,68.6198,2,0.0754,0.7251,2,0.0754,0.5242,2,0.0754,16.6318,2,0.0831,,,0.0
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,diagonal::disp_x,100.0,0.45,1.7412,2,0.1761,1749.5866,4,0.1527,0.2226,3,0.1908,0.3601,2,0.0673,0.5555,2,0.0673,74.6876,3,0.0763,0.7339,2,0.0673,0.5044,2,0.0673,6.6931,1,0.0673,0.8612,2.0,0.0673
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,diagonal::disp_y,100.0,0.45,1.7412,2,0.1681,1749.5866,4,0.1471,0.2226,3,0.1883,0.2089,2,0.0702,0.413,2,0.0702,58.6745,1,0.0682,0.8643,2,0.0702,0.3683,2,0.0702,7.7423,2,0.0772,0.8612,2.0,0.0702
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,M,diagonal::disp_z,100.0,0.45,1.4418,1,0.1181,1511.5356,3,0.1459,0.2489,4,0.1377,0.2385,1,0.074,0.3494,1,0.074,44.0173,1,0.1078,0.9007,1,0.074,0.3004,1,0.074,3.9101,3,0.0972,0.8376,3.0,0.0972
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,diagonal::stress,100.0,0.5,1.7412,2,0.1772,1749.5866,4,0.1221,0.2226,3,0.1717,0.472,1,0.0872,0.7301,1,0.0872,82.6117,1,0.0916,0.6222,1,0.0872,0.6081,1,0.0872,19.6735,1,0.0886,,,0.0
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,horizontal::disp_x,100.0,0.45,1.7412,2,0.1104,1746.1389,3,0.1472,0.2209,2,0.1852,0.2441,1,0.0755,0.3515,1,0.0755,59.5678,3,0.0911,0.9066,1,0.0755,0.2985,1,0.0755,6.1514,1,0.0755,0.8957,1.0,0.0883
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,horizontal::disp_y,100.0,0.45,1.7412,2,0.1794,1746.1389,3,0.2039,0.2209,2,0.1662,0.3303,2,0.0641,0.5486,2,0.0641,73.1297,2,0.0641,0.7784,2,0.0641,0.4707,2,0.0641,11.2476,1,0.065,0.8957,1.0,0.065
