Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Parameters (M),0.1561,regdgcnn,transolver_pp,pointnet,transolver,abupt
2,Training Time (s),0.1466,pointnet,transolver,transolver_pp,regdgcnn,abupt
3,Inference Time (s),0.1431,pointnet,transolver_pp,transolver,regdgcnn,abupt
4,MaxAE,0.0947,transolver,regdgcnn,transolver_pp,abupt,pointnet
5,MAPE (%),0.0844,regdgcnn,transolver_pp,transolver,abupt,pointnet
6,MAE,0.0783,transolver,transolver_pp,regdgcnn,abupt,pointnet
7,RMSE,0.0765,transolver,transolver_pp,regdgcnn,abupt,pointnet
8,R²,0.0765,transolver,transolver_pp,abupt,regdgcnn,pointnet
9,Rel-L2,0.0765,transolver,transolver_pp,regdgcnn,abupt,pointnet
10,MAC,0.0672,regdgcnn,abupt,transolver_pp,transolver,pointnet
