Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Training Time (s),0.1645,pointnet,transolver,transolver_pp,regdgcnn,abupt
2,Inference Time (s),0.14,transolver,pointnet,abupt,regdgcnn,transolver_pp
3,Parameters (M),0.1328,regdgcnn,transolver_pp,pointnet,transolver,abupt
4,MaxAE,0.1063,transolver,regdgcnn,transolver_pp,abupt,pointnet
5,MAPE (%),0.0859,transolver_pp,regdgcnn,transolver,abupt,pointnet
6,MAE,0.0782,transolver,regdgcnn,transolver_pp,abupt,pointnet
7,RMSE,0.0766,transolver,regdgcnn,transolver_pp,abupt,pointnet
8,R²,0.0766,transolver,regdgcnn,transolver_pp,abupt,pointnet
9,Rel-L2,0.0766,transolver,regdgcnn,transolver_pp,abupt,pointnet
10,MAC,0.0627,transolver_pp,regdgcnn,transolver,abupt,pointnet
