Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Parameters (M),0.1533,regdgcnn,transolver_pp,pointnet,transolver,abupt
2,Inference Time (s),0.1327,pointnet,transolver_pp,transolver,abupt,regdgcnn
3,Training Time (s),0.1296,transolver,pointnet,transolver_pp,regdgcnn,abupt
4,MaxAE,0.1194,abupt,transolver,transolver_pp,regdgcnn,pointnet
5,MAPE (%),0.0874,regdgcnn,transolver_pp,abupt,transolver,pointnet
6,MAE,0.079,transolver,transolver_pp,abupt,regdgcnn,pointnet
7,R²,0.0779,transolver,transolver_pp,abupt,pointnet,regdgcnn
8,RMSE,0.0777,transolver,transolver_pp,abupt,regdgcnn,pointnet
9,Rel-L2,0.0777,transolver,transolver_pp,abupt,regdgcnn,pointnet
10,MAC,0.0652,regdgcnn,abupt,transolver_pp,transolver,pointnet
