Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Parameters (M),0.1639,regdgcnn,transolver_pp,pointnet,transolver,abupt
2,Inference Time (s),0.1466,pointnet,transolver,transolver_pp,abupt,regdgcnn
3,Training Time (s),0.1423,transolver,pointnet,transolver_pp,abupt,regdgcnn
4,MaxAE,0.0902,transolver,transolver_pp,regdgcnn,abupt,pointnet
5,MAPE (%),0.0821,regdgcnn,transolver_pp,transolver,abupt,pointnet
6,MAE,0.0775,transolver,transolver_pp,regdgcnn,abupt,pointnet
7,R²,0.0768,transolver,transolver_pp,abupt,regdgcnn,pointnet
8,RMSE,0.0767,transolver,transolver_pp,regdgcnn,abupt,pointnet
9,Rel-L2,0.0766,transolver,transolver_pp,regdgcnn,abupt,pointnet
10,MAC,0.0673,regdgcnn,abupt,transolver_pp,transolver,pointnet
