Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Parameters (M),0.1661,regdgcnn,transolver_pp,pointnet,transolver,abupt
2,Inference Time (s),0.1508,pointnet,transolver_pp,transolver,regdgcnn,abupt
3,Training Time (s),0.1378,pointnet,transolver,transolver_pp,regdgcnn,abupt
4,MaxAE,0.0902,transolver,regdgcnn,transolver_pp,abupt,pointnet
5,MAPE (%),0.0813,regdgcnn,transolver_pp,transolver,abupt,pointnet
6,MAE,0.0771,transolver,transolver_pp,regdgcnn,abupt,pointnet
7,RMSE,0.076,transolver,transolver_pp,regdgcnn,abupt,pointnet
8,R²,0.076,transolver,transolver_pp,abupt,regdgcnn,pointnet
9,Rel-L2,0.076,transolver,transolver_pp,regdgcnn,abupt,pointnet
10,MAC,0.0686,regdgcnn,abupt,transolver_pp,transolver,pointnet
