Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Training Time (s),0.1651,pointnet,transolver,transolver_pp,regdgcnn,abupt
2,Inference Time (s),0.1515,transolver,pointnet,regdgcnn,abupt,transolver_pp
3,Parameters (M),0.1327,regdgcnn,transolver_pp,pointnet,transolver,abupt
4,MaxAE,0.1029,transolver,transolver_pp,regdgcnn,abupt,pointnet
5,MAPE (%),0.0804,regdgcnn,transolver_pp,transolver,abupt,pointnet
6,MAE,0.076,transolver,regdgcnn,transolver_pp,abupt,pointnet
7,RMSE,0.0757,transolver,regdgcnn,transolver_pp,abupt,pointnet
8,R²,0.0757,transolver,regdgcnn,transolver_pp,abupt,pointnet
9,Rel-L2,0.0757,transolver,regdgcnn,transolver_pp,abupt,pointnet
10,MAC,0.0643,transolver_pp,regdgcnn,transolver,abupt,pointnet
