Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Inference Time (s),0.1732,transolver,pointnet,abupt,regdgcnn,transolver_pp
2,Training Time (s),0.1718,pointnet,transolver,transolver_pp,regdgcnn,abupt
3,Parameters (M),0.1232,regdgcnn,transolver_pp,pointnet,transolver,abupt
4,MAPE (%),0.0865,regdgcnn,transolver,transolver_pp,abupt,pointnet
5,MaxAE,0.0856,transolver,regdgcnn,transolver_pp,abupt,pointnet
6,MAE,0.0764,regdgcnn,transolver,transolver_pp,abupt,pointnet
7,RMSE,0.0764,regdgcnn,transolver,transolver_pp,abupt,pointnet
8,R²,0.0764,regdgcnn,transolver,transolver_pp,abupt,pointnet
9,Rel-L2,0.0764,regdgcnn,transolver,transolver_pp,abupt,pointnet
10,MAC,0.054,regdgcnn,transolver,transolver_pp,abupt,pointnet
