Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Training Time (s),0.157,transolver,pointnet,transolver_pp,abupt,regdgcnn
2,Parameters (M),0.1313,regdgcnn,transolver_pp,pointnet,transolver,abupt
3,MaxAE,0.1292,regdgcnn,abupt,transolver,transolver_pp,pointnet
4,Inference Time (s),0.1247,pointnet,transolver_pp,regdgcnn,abupt,transolver
5,MAPE (%),0.0878,transolver,transolver_pp,regdgcnn,abupt,pointnet
6,MAE,0.0792,transolver,transolver_pp,regdgcnn,abupt,pointnet
7,RMSE,0.0769,transolver,transolver_pp,regdgcnn,abupt,pointnet
8,R²,0.0769,transolver_pp,transolver,regdgcnn,abupt,pointnet
9,Rel-L2,0.0769,transolver,transolver_pp,regdgcnn,abupt,pointnet
10,MAC,0.0601,transolver,regdgcnn,transolver_pp,abupt,pointnet
