Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Inference Time (s),0.1853,pointnet,transolver_pp,transolver,regdgcnn,abupt
2,Training Time (s),0.1706,pointnet,transolver,transolver_pp,regdgcnn,abupt
3,Parameters (M),0.1426,regdgcnn,transolver_pp,pointnet,transolver,abupt
4,MAPE (%),0.0797,transolver_pp,transolver,regdgcnn,abupt,pointnet
5,MaxAE,0.0742,transolver_pp,transolver,regdgcnn,abupt,pointnet
6,MAE,0.0738,transolver_pp,transolver,regdgcnn,abupt,pointnet
7,RMSE,0.0717,transolver_pp,transolver,regdgcnn,abupt,pointnet
8,R²,0.0717,transolver_pp,transolver,regdgcnn,abupt,pointnet
9,Rel-L2,0.0717,transolver_pp,transolver,regdgcnn,abupt,pointnet
10,MAC,0.0586,transolver_pp,transolver,regdgcnn,abupt,pointnet
