Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Parameters (M),0.1475,regdgcnn,transolver_pp,pointnet,transolver,abupt
2,MaxAE,0.1215,pointnet,transolver,abupt,regdgcnn,transolver_pp
3,Inference Time (s),0.1107,pointnet,transolver_pp,transolver,regdgcnn,abupt
4,Training Time (s),0.0969,pointnet,transolver,transolver_pp,regdgcnn,abupt
5,MAC,0.0969,abupt,regdgcnn,transolver_pp,transolver,pointnet
6,MAE,0.0853,pointnet,transolver,abupt,transolver_pp,regdgcnn
7,MAPE (%),0.0853,regdgcnn,transolver_pp,abupt,transolver,pointnet
8,RMSE,0.0853,pointnet,transolver,abupt,transolver_pp,regdgcnn
9,Rel-L2,0.0853,pointnet,transolver,abupt,transolver_pp,regdgcnn
10,R²,0.0853,pointnet,transolver,abupt,transolver_pp,regdgcnn
