Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Parameters (M),0.1899,regdgcnn,transolver_pp,pointnet,transolver,abupt
2,MaxAE,0.1169,transolver,pointnet,transolver_pp,abupt,regdgcnn
3,Inference Time (s),0.1018,pointnet,transolver_pp,transolver,regdgcnn,abupt
4,Training Time (s),0.0951,transolver,pointnet,transolver_pp,regdgcnn,abupt
5,MAC,0.0837,regdgcnn,abupt,transolver_pp,transolver,pointnet
6,MAPE (%),0.0837,regdgcnn,abupt,transolver_pp,transolver,pointnet
7,Rel-L2,0.0824,transolver,pointnet,transolver_pp,abupt,regdgcnn
8,RMSE,0.0824,transolver,pointnet,transolver_pp,abupt,regdgcnn
9,R²,0.0824,transolver,pointnet,transolver_pp,abupt,regdgcnn
10,MAE,0.0816,pointnet,transolver,transolver_pp,abupt,regdgcnn
