Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Parameters (M),0.1522,regdgcnn,transolver_pp,pointnet,transolver,abupt
2,Training Time (s),0.1219,pointnet,transolver,regdgcnn,transolver_pp,abupt
3,MaxAE,0.1104,pointnet,transolver,abupt,transolver_pp,regdgcnn
4,Inference Time (s),0.0887,pointnet,transolver,transolver_pp,abupt,regdgcnn
5,MAC,0.0887,regdgcnn,abupt,transolver_pp,transolver,pointnet
6,MAPE (%),0.0887,regdgcnn,abupt,transolver_pp,transolver,pointnet
7,RMSE,0.0873,pointnet,transolver,abupt,transolver_pp,regdgcnn
8,MAE,0.0873,pointnet,transolver,abupt,transolver_pp,regdgcnn
9,Rel-L2,0.0873,pointnet,transolver,abupt,transolver_pp,regdgcnn
10,R²,0.0873,pointnet,transolver,abupt,transolver_pp,regdgcnn
