Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Parameters (M),0.155,regdgcnn,transolver_pp,pointnet,transolver,abupt
2,Training Time (s),0.133,transolver,pointnet,transolver_pp,regdgcnn,abupt
3,MaxAE,0.114,pointnet,transolver,abupt,regdgcnn,transolver_pp
4,Inference Time (s),0.0924,pointnet,transolver,regdgcnn,abupt,transolver_pp
5,MAPE (%),0.0881,transolver_pp,regdgcnn,abupt,transolver,pointnet
6,MAC,0.0838,transolver_pp,regdgcnn,abupt,transolver,pointnet
7,RMSE,0.0834,pointnet,transolver,abupt,regdgcnn,transolver_pp
8,MAE,0.0834,pointnet,transolver,abupt,transolver_pp,regdgcnn
9,Rel-L2,0.0834,pointnet,transolver,abupt,regdgcnn,transolver_pp
10,R²,0.0834,pointnet,transolver,abupt,regdgcnn,transolver_pp
