Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Parameters (M),0.2293,regdgcnn,transolver_pp,pointnet,transolver,abupt
2,Inference Time (s),0.1832,transolver_pp,pointnet,transolver,abupt,regdgcnn
3,Training Time (s),0.1259,transolver,pointnet,transolver_pp,regdgcnn,abupt
4,MaxAE,0.0722,transolver,regdgcnn,abupt,transolver_pp,pointnet
5,MAPE (%),0.0693,transolver,transolver_pp,regdgcnn,abupt,pointnet
6,MAE,0.068,transolver,transolver_pp,regdgcnn,abupt,pointnet
7,RMSE,0.068,transolver,regdgcnn,transolver_pp,abupt,pointnet
8,R²,0.068,transolver,regdgcnn,transolver_pp,abupt,pointnet
9,Rel-L2,0.068,transolver,regdgcnn,transolver_pp,abupt,pointnet
10,MAC,0.0481,transolver,transolver_pp,regdgcnn,abupt,pointnet
