Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Inference Time (s),0.2069,pointnet,transolver,regdgcnn,abupt,transolver_pp
2,Training Time (s),0.1835,transolver_pp,transolver,pointnet,regdgcnn,abupt
3,Parameters (M),0.1296,regdgcnn,transolver_pp,pointnet,transolver,abupt
4,MaxAE,0.0757,regdgcnn,transolver,transolver_pp,abupt,pointnet
5,MAPE (%),0.0704,regdgcnn,transolver,transolver_pp,abupt,pointnet
6,MAE,0.0704,regdgcnn,transolver,transolver_pp,abupt,pointnet
7,RMSE,0.0701,regdgcnn,transolver,transolver_pp,abupt,pointnet
8,R²,0.0701,regdgcnn,transolver,transolver_pp,abupt,pointnet
9,Rel-L2,0.0701,regdgcnn,transolver,transolver_pp,abupt,pointnet
10,MAC,0.0532,transolver,regdgcnn,transolver_pp,abupt,pointnet
