Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Parameters (M),0.1735,regdgcnn,transolver_pp,pointnet,transolver,abupt
2,Inference Time (s),0.1688,pointnet,transolver,transolver_pp,regdgcnn,abupt
3,Training Time (s),0.1517,transolver,pointnet,transolver_pp,regdgcnn,abupt
4,MaxAE,0.0872,transolver,transolver_pp,regdgcnn,abupt,pointnet
5,MAPE (%),0.0741,transolver,transolver_pp,regdgcnn,abupt,pointnet
6,MAE,0.0733,transolver,transolver_pp,regdgcnn,abupt,pointnet
7,RMSE,0.0719,transolver_pp,transolver,regdgcnn,abupt,pointnet
8,R²,0.0719,transolver_pp,transolver,regdgcnn,abupt,pointnet
9,Rel-L2,0.0719,transolver_pp,transolver,regdgcnn,abupt,pointnet
10,MAC,0.0558,transolver,transolver_pp,regdgcnn,abupt,pointnet
