Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Training Time (s),0.1722,pointnet,transolver,transolver_pp,regdgcnn,abupt
2,Parameters (M),0.1525,regdgcnn,transolver_pp,pointnet,transolver,abupt
3,Inference Time (s),0.1309,pointnet,transolver_pp,transolver,abupt,regdgcnn
4,MaxAE,0.0844,transolver,regdgcnn,transolver_pp,abupt,pointnet
5,MAPE (%),0.0825,transolver_pp,transolver,regdgcnn,abupt,pointnet
6,MAE,0.0793,transolver_pp,transolver,regdgcnn,abupt,pointnet
7,RMSE,0.0749,regdgcnn,transolver_pp,transolver,abupt,pointnet
8,R²,0.0749,transolver_pp,regdgcnn,transolver,abupt,pointnet
9,Rel-L2,0.0749,regdgcnn,transolver_pp,transolver,abupt,pointnet
10,MAC,0.0735,transolver,transolver_pp,regdgcnn,abupt,pointnet
