Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Parameters (M),0.17,regdgcnn,transolver_pp,pointnet,transolver,abupt
2,Training Time (s),0.1329,pointnet,transolver,transolver_pp,abupt,regdgcnn
3,Inference Time (s),0.132,pointnet,transolver_pp,transolver,abupt,regdgcnn
4,MAPE (%),0.1054,transolver,transolver_pp,regdgcnn,abupt,pointnet
5,MaxAE,0.0938,transolver_pp,abupt,regdgcnn,transolver,pointnet
6,MAE,0.0762,transolver,transolver_pp,regdgcnn,abupt,pointnet
7,RMSE,0.0754,transolver,transolver_pp,regdgcnn,abupt,pointnet
8,R²,0.0754,transolver,transolver_pp,regdgcnn,abupt,pointnet
9,Rel-L2,0.0754,transolver,transolver_pp,regdgcnn,abupt,pointnet
10,MAC,0.0634,transolver,transolver_pp,regdgcnn,abupt,pointnet
