Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Inference Time (s),0.1482,pointnet,transolver_pp,transolver,regdgcnn,abupt
2,Training Time (s),0.1434,transolver,regdgcnn,pointnet,transolver_pp,abupt
3,Parameters (M),0.1262,regdgcnn,transolver_pp,pointnet,transolver,abupt
4,MaxAE,0.1009,transolver,abupt,regdgcnn,transolver_pp,pointnet
5,MAPE (%),0.0937,transolver_pp,abupt,transolver,regdgcnn,pointnet
6,MAE,0.0829,abupt,transolver,transolver_pp,regdgcnn,pointnet
7,RMSE,0.0804,transolver,abupt,transolver_pp,regdgcnn,pointnet
8,R²,0.0804,transolver,abupt,transolver_pp,regdgcnn,pointnet
9,Rel-L2,0.0804,transolver,abupt,transolver_pp,regdgcnn,pointnet
10,MAC,0.0637,abupt,transolver,transolver_pp,regdgcnn,pointnet
