Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Training Time (s),0.1708,transolver,pointnet,transolver_pp,regdgcnn,abupt
2,Parameters (M),0.1287,regdgcnn,transolver_pp,pointnet,transolver,abupt
3,Inference Time (s),0.1218,pointnet,transolver_pp,transolver,regdgcnn,abupt
4,MaxAE,0.1073,abupt,transolver,transolver_pp,regdgcnn,pointnet
5,MAPE (%),0.0929,transolver_pp,transolver,abupt,regdgcnn,pointnet
6,MAE,0.0816,transolver,transolver_pp,abupt,regdgcnn,pointnet
7,RMSE,0.0779,transolver,transolver_pp,abupt,regdgcnn,pointnet
8,R²,0.0779,transolver,abupt,transolver_pp,regdgcnn,pointnet
9,Rel-L2,0.0779,transolver,transolver_pp,abupt,regdgcnn,pointnet
10,MAC,0.0633,abupt,transolver,transolver_pp,regdgcnn,pointnet
