Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Training Time (s),0.1451,transolver,pointnet,regdgcnn,transolver_pp,abupt
2,MaxAE,0.1378,transolver,transolver_pp,regdgcnn,abupt,pointnet
3,Parameters (M),0.1242,regdgcnn,transolver_pp,pointnet,transolver,abupt
4,Inference Time (s),0.1233,pointnet,transolver,transolver_pp,regdgcnn,abupt
5,MAPE (%),0.0905,abupt,transolver_pp,transolver,regdgcnn,pointnet
6,MAE,0.08,abupt,transolver,transolver_pp,regdgcnn,pointnet
7,RMSE,0.0788,abupt,transolver,transolver_pp,regdgcnn,pointnet
8,R²,0.0788,abupt,transolver,transolver_pp,regdgcnn,pointnet
9,Rel-L2,0.0788,abupt,transolver,transolver_pp,regdgcnn,pointnet
10,MAC,0.0627,abupt,transolver,regdgcnn,transolver_pp,pointnet
