Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Inference Time (s),0.2394,pointnet,transolver,transolver_pp,regdgcnn,abupt
2,Parameters (M),0.1573,regdgcnn,transolver_pp,pointnet,transolver,abupt
3,MaxAE,0.108,transolver,regdgcnn,transolver_pp,abupt,pointnet
4,Training Time (s),0.0903,pointnet,regdgcnn,transolver_pp,transolver,abupt
5,RMSE,0.081,transolver,transolver_pp,abupt,regdgcnn,pointnet
6,MAE,0.081,transolver,transolver_pp,abupt,regdgcnn,pointnet
7,MAPE (%),0.081,transolver,transolver_pp,abupt,regdgcnn,pointnet
8,R²,0.081,transolver,transolver_pp,abupt,regdgcnn,pointnet
9,Rel-L2,0.081,transolver,transolver_pp,abupt,regdgcnn,pointnet
10,MAC,0.0,abupt,pointnet,regdgcnn,transolver,transolver_pp
