Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Inference Time (s),0.2034,pointnet,transolver_pp,transolver,regdgcnn,abupt
2,Training Time (s),0.1872,pointnet,transolver_pp,transolver,abupt,regdgcnn
3,Parameters (M),0.156,regdgcnn,transolver_pp,pointnet,transolver,abupt
4,MaxAE,0.0821,transolver_pp,transolver,abupt,regdgcnn,pointnet
5,RMSE,0.0743,transolver_pp,transolver,regdgcnn,abupt,pointnet
6,MAE,0.0743,transolver_pp,transolver,regdgcnn,abupt,pointnet
7,MAPE (%),0.0743,transolver_pp,transolver,regdgcnn,abupt,pointnet
8,R²,0.0743,transolver_pp,transolver,regdgcnn,abupt,pointnet
9,Rel-L2,0.0743,transolver_pp,transolver,regdgcnn,abupt,pointnet
10,MAC,0.0,abupt,pointnet,regdgcnn,transolver,transolver_pp
