Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Training Time (s),0.1623,transolver,pointnet,regdgcnn,transolver_pp,abupt
2,Parameters (M),0.1351,regdgcnn,transolver_pp,pointnet,transolver,abupt
3,Inference Time (s),0.1093,pointnet,transolver_pp,transolver,regdgcnn,abupt
4,MaxAE,0.1083,transolver,abupt,regdgcnn,transolver_pp,pointnet
5,MAPE (%),0.0967,abupt,transolver_pp,transolver,regdgcnn,pointnet
6,MAE,0.0842,abupt,transolver,transolver_pp,regdgcnn,pointnet
7,RMSE,0.0801,abupt,transolver,transolver_pp,regdgcnn,pointnet
8,R²,0.0801,abupt,transolver,regdgcnn,transolver_pp,pointnet
9,Rel-L2,0.0801,abupt,transolver,transolver_pp,regdgcnn,pointnet
10,MAC,0.0637,abupt,transolver,regdgcnn,transolver_pp,pointnet
