Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Parameters (M),0.1615,regdgcnn,transolver_pp,pointnet,transolver,abupt
2,Training Time (s),0.136,pointnet,transolver,transolver_pp,regdgcnn,abupt
3,Inference Time (s),0.1121,pointnet,transolver_pp,transolver,abupt,regdgcnn
4,MAPE (%),0.1058,transolver_pp,transolver,abupt,regdgcnn,pointnet
5,MaxAE,0.1008,transolver,regdgcnn,abupt,transolver_pp,pointnet
6,MAE,0.0884,transolver,abupt,transolver_pp,regdgcnn,pointnet
7,RMSE,0.0787,transolver,abupt,regdgcnn,transolver_pp,pointnet
8,R²,0.0787,transolver,abupt,regdgcnn,transolver_pp,pointnet
9,Rel-L2,0.0787,transolver,abupt,regdgcnn,transolver_pp,pointnet
10,MAC,0.0594,transolver,abupt,regdgcnn,transolver_pp,pointnet
