Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.1377,regdgcnn,transolver,transolver_pp,abupt,pointnet
2,Parameters (M),0.1312,regdgcnn,transolver_pp,pointnet,transolver,abupt
3,Training Time (s),0.126,transolver,regdgcnn,pointnet,transolver_pp,abupt
4,Inference Time (s),0.1232,pointnet,transolver,transolver_pp,regdgcnn,abupt
5,MAPE (%),0.0997,abupt,transolver_pp,transolver,regdgcnn,pointnet
6,MAE,0.0802,abupt,transolver,transolver_pp,regdgcnn,pointnet
7,RMSE,0.0799,abupt,transolver,transolver_pp,regdgcnn,pointnet
8,R²,0.0799,abupt,transolver,transolver_pp,regdgcnn,pointnet
9,Rel-L2,0.0799,abupt,transolver,transolver_pp,regdgcnn,pointnet
10,MAC,0.0623,abupt,transolver,transolver_pp,pointnet,regdgcnn
