Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Inference Time (s),0.1696,pointnet,transolver_pp,transolver,regdgcnn,abupt
2,Training Time (s),0.136,transolver,regdgcnn,pointnet,transolver_pp,abupt
3,Parameters (M),0.1038,regdgcnn,transolver_pp,pointnet,transolver,abupt
4,MAPE (%),0.0938,transolver_pp,abupt,transolver,pointnet,regdgcnn
5,MaxAE,0.0885,transolver,abupt,regdgcnn,pointnet,transolver_pp
6,MAC,0.0849,abupt,transolver,transolver_pp,pointnet,regdgcnn
7,MAE,0.0817,abupt,transolver,transolver_pp,pointnet,regdgcnn
8,RMSE,0.0806,abupt,transolver,transolver_pp,pointnet,regdgcnn
9,Rel-L2,0.0806,abupt,transolver,transolver_pp,pointnet,regdgcnn
10,R²,0.0806,abupt,transolver,transolver_pp,pointnet,regdgcnn
