Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Parameters (M),0.1417,regdgcnn,transolver_pp,pointnet,transolver,abupt
2,Training Time (s),0.1409,transolver,pointnet,transolver_pp,abupt,regdgcnn
3,MAPE (%),0.1104,transolver_pp,abupt,regdgcnn,transolver,pointnet
4,MaxAE,0.0978,transolver,abupt,transolver_pp,regdgcnn,pointnet
5,Inference Time (s),0.0957,pointnet,transolver_pp,transolver,regdgcnn,abupt
6,MAC,0.0921,abupt,transolver,transolver_pp,regdgcnn,pointnet
7,MAE,0.0833,abupt,transolver_pp,regdgcnn,transolver,pointnet
8,RMSE,0.0794,abupt,transolver,transolver_pp,regdgcnn,pointnet
9,Rel-L2,0.0794,abupt,transolver,transolver_pp,regdgcnn,pointnet
10,R²,0.0794,abupt,transolver,transolver_pp,regdgcnn,pointnet
