Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Training Time (s),0.1994,transolver,regdgcnn,transolver_pp,pointnet,abupt
2,MaxAE,0.12,abupt,transolver,regdgcnn,pointnet,transolver_pp
3,Inference Time (s),0.1033,pointnet,transolver_pp,transolver,regdgcnn,abupt
4,Parameters (M),0.1007,regdgcnn,transolver_pp,pointnet,transolver,abupt
5,MAPE (%),0.0976,transolver_pp,abupt,transolver,regdgcnn,pointnet
6,MAE,0.077,abupt,transolver,transolver_pp,regdgcnn,pointnet
7,RMSE,0.0755,abupt,transolver,transolver_pp,regdgcnn,pointnet
8,R²,0.0755,abupt,transolver,transolver_pp,regdgcnn,pointnet
9,Rel-L2,0.0755,abupt,transolver,transolver_pp,regdgcnn,pointnet
10,MAC,0.0755,abupt,transolver,transolver_pp,regdgcnn,pointnet
