Rank,domain,task,model,dataset,size,Group Key,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),MAE (Value),MAE (Rank),MAE (Weight),RMSE (Value),RMSE (Rank),RMSE (Weight),MAPE (%) (Value),MAPE (%) (Rank),MAPE (%) (Weight),R² (Value),R² (Rank),R² (Weight),Rel-L2 (Value),Rel-L2 (Rank),Rel-L2 (Weight),MaxAE (Value),MaxAE (Rank),MaxAE (Weight),MAC (Value),MAC (Rank),MAC (Weight)
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,diagonal::disp_x,100.0,0.35,3.7788,5,0,2553.9346,1,0,0.2243,3,0,0.303,1,0.136,0.4748,1,0.1381,66.1536,1,0.136,0.8056,1,0.1381,0.4311,1,0.1381,6.8662,1,0.136,0.9072,2.0,0.1776
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,diagonal::disp_y,100.0,0.35,3.7788,5,0,2553.9346,1,0,0.2243,3,0,0.1698,1,0.1477,0.3267,1,0.1365,51.8861,1,0.1477,0.9151,1,0.1365,0.2914,1,0.1365,7.083,2,0.1477,0.9072,2.0,0.1477
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,L,diagonal::disp_z,100.0,0.45,1.4418,1,0,9711.9899,5,0,1.397,5,0,0.2303,1,0.1339,0.3193,1,0.1339,44.2146,1,0.1804,0.917,1,0.1339,0.2746,1,0.1339,3.3543,1,0.1498,0.9144,1.0,0.1339
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,L,diagonal::stress,100.0,0.4,1.4418,1,0,9711.9899,5,0,1.397,5,0,0.4256,3,0.156,0.6692,3,0.156,75.5435,2,0.1623,0.6826,3,0.156,0.5574,3,0.156,18.8728,1,0.2135,,,0.0
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,L,horizontal::disp_x,100.0,0.4,1.4418,1,0,4053.702,5,0,0.2514,4,0,0.1563,1,0.1325,0.2439,1,0.1325,37.9652,1,0.1441,0.955,1,0.1325,0.2072,1,0.1325,5.6979,3,0.155,0.9173,3.0,0.1711
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,L,horizontal::disp_y,100.0,0.35,1.7412,3,0,3412.0983,3,0,0.2232,2,0,0.273,1,0.1429,0.4713,1,0.1429,63.645,1,0.1429,0.8365,1,0.1429,0.4044,1,0.1429,11.4191,1,0.1429,0.9288,1.0,0.1429
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,L,horizontal::disp_z,100.0,0.35,1.7412,3,0,3412.0983,3,0,0.2232,2,0,0.0997,1,0.1346,0.1985,1,0.1346,20.3984,1,0.1411,0.9726,1,0.1346,0.1654,1,0.1346,4.2745,2,0.1861,0.9288,1.0,0.1346
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,L,horizontal::stress,100.0,0.45,1.7412,3,0,3412.0983,3,0,0.2232,2,0,0.3749,2,0.146,0.661,1,0.132,65.7295,2,0.146,0.7126,1,0.132,0.5361,1,0.132,17.6135,1,0.312,,,0.0
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,mode_shape_1::mode_x,100.0,0.35,3.7785,5,0,2034.7117,1,0,0.1944,2,0,0.8633,1,0.1354,1.1918,1,0.1354,196.8382,4,0.1379,0.0,1,0.1354,1.0,1,0.1354,15.5851,1,0.14,0.0168,3.0,0.1804
1,dimension_3d,evaluation,geofno,deepjeb_3d_2d,L,mode_shape_1::mode_y,100.0,0.45,1.5457,2,0,2172.9167,2,0,0.3111,5,0,0.7933,3,0.1347,1.1682,3,0.1347,171.5698,3,0.136,-0.0036,3,0.1405,1.0018,3,0.1347,15.1444,1,0.1597,0.0056,5.0,0.1597
