Rank,domain,task,model,dataset,size,Group Key,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),MAE (Value),MAE (Rank),MAE (Weight),RMSE (Value),RMSE (Rank),RMSE (Weight),MAPE (%) (Value),MAPE (%) (Rank),MAPE (%) (Weight),R² (Value),R² (Rank),R² (Weight),Rel-L2 (Value),Rel-L2 (Rank),Rel-L2 (Weight),MaxAE (Value),MaxAE (Rank),MaxAE (Weight),MAC (Value),MAC (Rank),MAC (Weight)
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,diagonal::disp_x,100.0,0.3,3.7788,5,0,3199.7259,4,0,0.2937,4,0,0.0033,1,0.1424,0.0066,1,0.1402,42.4485,1,0.1424,0.8527,1,0.1402,0.3066,1,0.1402,0.0991,1,0.1543,0.989,1.0,0.1402
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,L,diagonal::disp_y,100.0,0.3,1.4418,1,0,4707.8971,5,0,0.2633,3,0,0.0028,3,0.1452,0.005,1,0.138,55.6381,3,0.1452,0.9168,1,0.138,0.2885,1,0.138,0.0847,1,0.1505,0.9865,3.0,0.1452
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,diagonal::disp_z,100.0,0.35,3.7788,5,0,3199.7259,4,0,0.2937,4,0,0.0067,1,0.145,0.012,2,0.1378,30.6311,1,0.159,0.9492,2,0.1378,0.1605,2,0.1378,0.1489,2,0.1378,0.989,1.0,0.145
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,L,diagonal::stress,100.0,0.45,1.4418,1,0,4707.8971,5,0,0.2633,3,0,15.6348,3,0.1585,25.5395,1,0.1383,57.8131,3,0.1667,0.7128,1,0.1383,0.463,1,0.1383,761.9161,1,0.26,,,0.0
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,L,horizontal::disp_x,100.0,0.35,1.7412,3,0,3139.7829,2,0,0.2415,2,0,0.0059,1,0.136,0.0122,1,0.1378,33.4171,2,0.1438,0.9742,1,0.1473,0.1315,1,0.1473,0.3473,2,0.1438,0.9936,2.0,0.1438
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,horizontal::disp_y,100.0,0.4,3.7788,5,0,3210.2929,4,0,0.298,5,0,0.0018,1,0.1361,0.0032,2,0.1361,61.9362,2,0.1347,0.8282,3,0.1449,0.4119,3,0.1449,0.0746,1,0.1449,0.9938,1.0,0.1583
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,L,horizontal::disp_z,100.0,0.35,1.7412,3,0,3139.7829,2,0,0.2415,2,0,0.0064,1,0.1328,0.012,1,0.142,38.4091,2,0.142,0.9759,1,0.142,0.1446,1,0.142,0.2554,2,0.1497,0.9936,2.0,0.1497
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,L,horizontal::stress,100.0,0.45,1.4418,1,0,4687.6934,5,0,0.2644,4,0,23.4904,3,0.1325,40.3775,3,0.1272,65.9293,3,0.1325,0.6957,3,0.1272,0.5433,3,0.1272,1121.3047,1,0.3534,,,0.0
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,mode_shape_1::mode_x,100.0,0.4,3.7785,5,0,2030.7226,3,0,0.215,3,0,258.7978,2,0.1131,357.3054,2,0.1131,196.2416,4,0.1302,0.0,2,0.1131,0.9999,1,0.1145,4674.373,3,0.1199,0.0498,2.0,0.2962
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,mode_shape_1::mode_y,100.0,0.4,3.7785,5,0,2030.7226,3,0,0.215,3,0,374.0531,2,0.1309,552.0519,2,0.1167,194.0076,4,0.1309,0.0002,2,0.1167,0.9999,2,0.1125,7199.5132,3,0.1908,0.0498,2.0,0.2016
