Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MaxAE,0.1793,abupt,transolver_pp,transolver,pointnet,geofno,regdgcnn
2,MAPE (%),0.1443,abupt,regdgcnn,transolver,transolver_pp,geofno,pointnet
3,MAE,0.1406,abupt,transolver,transolver_pp,pointnet,regdgcnn,geofno
4,R²,0.137,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
5,Rel-L2,0.1368,abupt,transolver,transolver_pp,regdgcnn,geofno,pointnet
6,RMSE,0.1362,abupt,transolver_pp,transolver,pointnet,geofno,regdgcnn
7,MAC,0.1259,abupt,regdgcnn,transolver,transolver_pp,pointnet,geofno
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
9,Training Time (s),0.0,geofno,abupt,pointnet,transolver,transolver_pp,regdgcnn
10,Inference Time (s),0.0,geofno,pointnet,transolver,regdgcnn,transolver_pp,abupt
