Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MaxAE,0.1988,abupt,transolver,regdgcnn,transolver_pp,pointnet,geofno
2,MAPE (%),0.1465,abupt,transolver_pp,regdgcnn,transolver,geofno,pointnet
3,MAE,0.1375,abupt,transolver,regdgcnn,transolver_pp,geofno,pointnet
4,R²,0.1356,abupt,transolver,regdgcnn,transolver_pp,geofno,pointnet
5,Rel-L2,0.1356,abupt,transolver,regdgcnn,transolver_pp,geofno,pointnet
6,RMSE,0.1356,abupt,transolver,regdgcnn,transolver_pp,geofno,pointnet
7,MAC,0.1105,transolver_pp,regdgcnn,transolver,abupt,geofno,pointnet
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
9,Training Time (s),0.0,geofno,pointnet,transolver,transolver_pp,regdgcnn,abupt
10,Inference Time (s),0.0,abupt,transolver,pointnet,regdgcnn,transolver_pp,geofno
