Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MaxAE,0.1942,abupt,transolver_pp,regdgcnn,transolver,pointnet,geofno
2,MAPE (%),0.1468,abupt,regdgcnn,transolver,transolver_pp,geofno,pointnet
3,MAE,0.1378,abupt,transolver,transolver_pp,regdgcnn,pointnet,geofno
4,RMSE,0.1357,abupt,transolver,transolver_pp,regdgcnn,pointnet,geofno
5,Rel-L2,0.1357,abupt,transolver,transolver_pp,regdgcnn,pointnet,geofno
6,R²,0.1357,abupt,transolver,transolver_pp,regdgcnn,pointnet,geofno
7,MAC,0.1139,regdgcnn,abupt,transolver,transolver_pp,pointnet,geofno
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
9,Training Time (s),0.0,abupt,geofno,pointnet,regdgcnn,transolver_pp,transolver
10,Inference Time (s),0.0,regdgcnn,transolver_pp,geofno,transolver,abupt,pointnet
