Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6
1,MaxAE,0.176,abupt,transolver_pp,transolver,pointnet,geofno,regdgcnn
2,MAPE (%),0.1465,abupt,regdgcnn,transolver,transolver_pp,geofno,pointnet
3,MAE,0.1416,abupt,transolver,transolver_pp,pointnet,geofno,regdgcnn
4,RMSE,0.1407,abupt,transolver,transolver_pp,pointnet,geofno,regdgcnn
5,Rel-L2,0.1405,abupt,transolver,transolver_pp,regdgcnn,pointnet,geofno
6,R²,0.1404,abupt,transolver,transolver_pp,regdgcnn,pointnet,geofno
7,MAC,0.1143,abupt,regdgcnn,transolver_pp,transolver,pointnet,geofno
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver,abupt
9,Training Time (s),0.0,abupt,geofno,pointnet,transolver_pp,transolver,regdgcnn
10,Inference Time (s),0.0,geofno,pointnet,transolver_pp,regdgcnn,transolver,abupt
