Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.1584,transolver,transolver_pp,regdgcnn,pointnet,geofno
2,MAPE (%),0.1486,regdgcnn,transolver_pp,transolver,geofno,pointnet
3,MAE,0.1394,transolver,transolver_pp,regdgcnn,geofno,pointnet
4,Rel-L2,0.1393,transolver,transolver_pp,regdgcnn,geofno,pointnet
5,R²,0.1391,transolver,transolver_pp,regdgcnn,geofno,pointnet
6,RMSE,0.139,transolver,transolver_pp,regdgcnn,geofno,pointnet
7,MAC,0.1362,regdgcnn,transolver_pp,transolver,geofno,pointnet
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,geofno,regdgcnn,transolver_pp,pointnet,transolver
10,Inference Time (s),0.0,regdgcnn,geofno,transolver,transolver_pp,pointnet
