Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.1653,transolver_pp,transolver,pointnet,geofno,regdgcnn
2,MAPE (%),0.144,regdgcnn,transolver,transolver_pp,geofno,pointnet
3,MAE,0.1417,transolver,transolver_pp,pointnet,geofno,regdgcnn
4,R²,0.1381,transolver,transolver_pp,regdgcnn,geofno,pointnet
5,Rel-L2,0.1379,transolver,transolver_pp,regdgcnn,geofno,pointnet
6,RMSE,0.1371,transolver,transolver_pp,pointnet,geofno,regdgcnn
7,MAC,0.1358,regdgcnn,transolver,transolver_pp,pointnet,geofno
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,geofno,pointnet,transolver,transolver_pp,regdgcnn
10,Inference Time (s),0.0,geofno,pointnet,transolver_pp,regdgcnn,transolver
