Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.1696,transolver_pp,transolver,regdgcnn,pointnet,geofno
2,MAE,0.147,transolver,transolver_pp,regdgcnn,geofno,pointnet
3,MAPE (%),0.1466,regdgcnn,transolver_pp,transolver,geofno,pointnet
4,RMSE,0.1385,transolver_pp,transolver,regdgcnn,geofno,pointnet
5,Rel-L2,0.1385,transolver_pp,transolver,regdgcnn,geofno,pointnet
6,R²,0.1385,transolver_pp,transolver,regdgcnn,geofno,pointnet
7,MAC,0.1213,regdgcnn,transolver,transolver_pp,geofno,pointnet
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,geofno,pointnet,transolver_pp,transolver,regdgcnn
10,Inference Time (s),0.0,transolver_pp,regdgcnn,pointnet,geofno,transolver
