Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.1643,transolver_pp,transolver,pointnet,regdgcnn,geofno
2,MAPE (%),0.1561,regdgcnn,transolver_pp,transolver,geofno,pointnet
3,MAE,0.1399,transolver,transolver_pp,pointnet,geofno,regdgcnn
4,R²,0.1386,transolver,transolver_pp,regdgcnn,geofno,pointnet
5,Rel-L2,0.1386,transolver,transolver_pp,regdgcnn,geofno,pointnet
6,RMSE,0.1382,transolver,transolver_pp,pointnet,geofno,regdgcnn
7,MAC,0.1242,regdgcnn,transolver_pp,transolver,geofno,pointnet
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,geofno,pointnet,transolver,transolver_pp,regdgcnn
10,Inference Time (s),0.0,geofno,pointnet,transolver_pp,regdgcnn,transolver
