Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.191,transolver,transolver_pp,regdgcnn,pointnet,geofno
2,MAPE (%),0.1459,regdgcnn,transolver_pp,transolver,geofno,pointnet
3,MAE,0.1369,transolver,regdgcnn,transolver_pp,geofno,pointnet
4,R²,0.1367,transolver,regdgcnn,transolver_pp,geofno,pointnet
5,Rel-L2,0.1367,transolver,regdgcnn,transolver_pp,geofno,pointnet
6,RMSE,0.1367,transolver,regdgcnn,transolver_pp,geofno,pointnet
7,MAC,0.1161,transolver_pp,regdgcnn,transolver,geofno,pointnet
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,geofno,pointnet,transolver,transolver_pp,regdgcnn
10,Inference Time (s),0.0,transolver,pointnet,regdgcnn,transolver_pp,geofno
