Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.1738,pointnet,transolver_pp,transolver,regdgcnn,geofno
2,MAPE (%),0.1439,regdgcnn,transolver,transolver_pp,geofno,pointnet
3,MAE,0.1387,transolver_pp,transolver,pointnet,geofno,regdgcnn
4,RMSE,0.1385,transolver_pp,transolver,pointnet,geofno,regdgcnn
5,R²,0.1385,transolver_pp,transolver,regdgcnn,geofno,pointnet
6,Rel-L2,0.1385,transolver,transolver_pp,regdgcnn,geofno,pointnet
7,MAC,0.1282,regdgcnn,transolver,transolver_pp,geofno,pointnet
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,geofno,pointnet,transolver_pp,transolver,regdgcnn
10,Inference Time (s),0.0,geofno,pointnet,transolver,regdgcnn,transolver_pp
