Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.1693,regdgcnn,transolver_pp,transolver,geofno,pointnet
2,MAPE (%),0.1655,transolver,transolver_pp,regdgcnn,geofno,pointnet
3,Rel-L2,0.139,transolver,transolver_pp,regdgcnn,geofno,pointnet
4,R²,0.139,transolver,transolver_pp,regdgcnn,geofno,pointnet
5,RMSE,0.139,transolver,transolver_pp,regdgcnn,geofno,pointnet
6,MAE,0.139,transolver,transolver_pp,regdgcnn,pointnet,geofno
7,MAC,0.1091,transolver,transolver_pp,regdgcnn,geofno,pointnet
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,pointnet,transolver,regdgcnn,transolver_pp,geofno
10,Inference Time (s),0.0,pointnet,transolver,transolver_pp,regdgcnn,geofno
