Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MAPE (%),0.1846,transolver,transolver_pp,regdgcnn,geofno,pointnet
2,MaxAE,0.1525,regdgcnn,transolver_pp,transolver,geofno,pointnet
3,MAE,0.1415,regdgcnn,transolver,transolver_pp,geofno,pointnet
4,R²,0.1394,regdgcnn,transolver,transolver_pp,geofno,pointnet
5,Rel-L2,0.1394,regdgcnn,transolver,transolver_pp,geofno,pointnet
6,RMSE,0.1384,regdgcnn,transolver_pp,transolver,geofno,pointnet
7,MAC,0.1043,regdgcnn,transolver,transolver_pp,pointnet,geofno
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,geofno,pointnet,transolver_pp,transolver,regdgcnn
10,Inference Time (s),0.0,geofno,pointnet,transolver,transolver_pp,regdgcnn
