Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.201,regdgcnn,pointnet,transolver_pp,geofno,transolver
2,MAPE (%),0.1431,transolver_pp,transolver,regdgcnn,pointnet,geofno
3,R²,0.1383,transolver_pp,transolver,regdgcnn,geofno,pointnet
4,Rel-L2,0.1383,transolver_pp,transolver,regdgcnn,geofno,pointnet
5,MAE,0.1375,transolver_pp,transolver,regdgcnn,pointnet,geofno
6,RMSE,0.1359,transolver_pp,transolver,regdgcnn,geofno,pointnet
7,MAC,0.106,transolver_pp,transolver,regdgcnn,pointnet,geofno
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,geofno,transolver,transolver_pp,pointnet,regdgcnn
10,Inference Time (s),0.0,geofno,transolver_pp,pointnet,regdgcnn,transolver
