Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.199,transolver_pp,regdgcnn,transolver,pointnet,geofno
2,MAPE (%),0.1435,transolver,transolver_pp,regdgcnn,geofno,pointnet
3,MAE,0.139,transolver_pp,transolver,regdgcnn,geofno,pointnet
4,R²,0.1355,transolver_pp,transolver,regdgcnn,geofno,pointnet
5,Rel-L2,0.1355,transolver_pp,transolver,regdgcnn,geofno,pointnet
6,RMSE,0.1355,transolver_pp,transolver,regdgcnn,geofno,pointnet
7,MAC,0.1121,transolver_pp,transolver,regdgcnn,geofno,pointnet
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,transolver,pointnet,transolver_pp,geofno,regdgcnn
10,Inference Time (s),0.0,pointnet,transolver_pp,transolver,regdgcnn,geofno
