Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MAPE (%),0.1613,transolver_pp,transolver,regdgcnn,geofno,pointnet
2,MaxAE,0.1522,transolver_pp,transolver,regdgcnn,geofno,pointnet
3,MAE,0.1453,transolver_pp,transolver,regdgcnn,geofno,pointnet
4,R²,0.1442,transolver_pp,transolver,regdgcnn,geofno,pointnet
5,Rel-L2,0.1442,transolver_pp,transolver,regdgcnn,geofno,pointnet
6,RMSE,0.1442,transolver_pp,transolver,regdgcnn,geofno,pointnet
7,MAC,0.1086,transolver_pp,transolver,regdgcnn,geofno,pointnet
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,pointnet,geofno,transolver,transolver_pp,regdgcnn
10,Inference Time (s),0.0,pointnet,transolver_pp,transolver,regdgcnn,geofno
