Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.1845,transolver_pp,transolver,regdgcnn,pointnet,geofno
2,MAPE (%),0.1398,regdgcnn,transolver,transolver_pp,geofno,pointnet
3,Rel-L2,0.1392,regdgcnn,transolver_pp,transolver,geofno,pointnet
4,RMSE,0.1392,regdgcnn,transolver_pp,transolver,geofno,pointnet
5,R²,0.1392,regdgcnn,transolver_pp,transolver,geofno,pointnet
6,MAE,0.1375,regdgcnn,transolver_pp,transolver,geofno,pointnet
7,MAC,0.1207,transolver,regdgcnn,transolver_pp,pointnet,geofno
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,pointnet,geofno,transolver,transolver_pp,regdgcnn
10,Inference Time (s),0.0,transolver,pointnet,regdgcnn,transolver_pp,geofno
