Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.2045,pointnet,regdgcnn,transolver,transolver_pp,geofno
2,MAPE (%),0.1407,transolver,transolver_pp,regdgcnn,pointnet,geofno
3,MAE,0.1396,transolver,transolver_pp,regdgcnn,geofno,pointnet
4,R²,0.1387,transolver_pp,transolver,regdgcnn,geofno,pointnet
5,Rel-L2,0.1387,transolver_pp,transolver,regdgcnn,geofno,pointnet
6,RMSE,0.1387,transolver_pp,transolver,regdgcnn,geofno,pointnet
7,MAC,0.099,transolver,transolver_pp,regdgcnn,pointnet,geofno
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,geofno,transolver_pp,pointnet,regdgcnn,transolver
10,Inference Time (s),0.0,geofno,transolver_pp,regdgcnn,transolver,pointnet
