Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.1859,transolver_pp,transolver,pointnet,geofno,regdgcnn
2,MAC,0.1589,regdgcnn,geofno,pointnet,transolver_pp,transolver
3,MAPE (%),0.1338,regdgcnn,geofno,transolver_pp,transolver,pointnet
4,RMSE,0.1304,transolver,pointnet,transolver_pp,geofno,regdgcnn
5,R²,0.1304,transolver,pointnet,transolver_pp,geofno,regdgcnn
6,MAE,0.1304,pointnet,transolver,transolver_pp,geofno,regdgcnn
7,Rel-L2,0.1303,transolver,pointnet,transolver_pp,geofno,regdgcnn
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,geofno,pointnet,transolver,transolver_pp,regdgcnn
10,Inference Time (s),0.0,geofno,pointnet,transolver,regdgcnn,transolver_pp
