Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MAPE (%),0.154,regdgcnn,geofno,transolver_pp,pointnet,transolver
2,MaxAE,0.145,transolver,pointnet,transolver_pp,geofno,regdgcnn
3,MAE,0.143,pointnet,transolver,transolver_pp,geofno,regdgcnn
4,RMSE,0.1429,pointnet,transolver,transolver_pp,geofno,regdgcnn
5,MAC,0.1405,regdgcnn,geofno,transolver_pp,pointnet,transolver
6,R²,0.1393,pointnet,transolver,transolver_pp,geofno,regdgcnn
7,Rel-L2,0.1354,pointnet,transolver,transolver_pp,geofno,regdgcnn
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,geofno,regdgcnn,pointnet,transolver_pp,transolver
10,Inference Time (s),0.0,geofno,pointnet,regdgcnn,transolver_pp,transolver
